ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Notes
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.ManagedServer.Unix.TotalUsedMemoryKB.Collection,Rule,Apache HTTP Server Total Used Memory KBytes Collection,This rule collects the total used memory in Kilobytes for the Apache HTTP Server process,Enabled,bool,onStandardMonitoring,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.ManagedServer.Unix.TotalUsedMemoryKB.Collection,Rule,Apache HTTP Server Total Used Memory KBytes Collection,This rule collects the total used memory in Kilobytes for the Apache HTTP Server process,Interval,int,300,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.ManagedServer.Unix.IdleWorkers.Collection,Rule,Apache HTTP Server Idle Workers Collection,This rule collects the current Idle Workers for the Apache HTTP Server,Enabled,bool,onStandardMonitoring,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.ManagedServer.Unix.IdleWorkers.Collection,Rule,Apache HTTP Server Idle Workers Collection,This rule collects the current Idle Workers for the Apache HTTP Server,Interval,int,300,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.RequestsPerSecond.Collection,Rule,Apache Virtual Host Requests per Second Collection,This rule collects the Requests per Second for the Apache Virtual Host (Web site),Enabled,bool,onStandardMonitoring,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.RequestsPerSecond.Collection,Rule,Apache Virtual Host Requests per Second Collection,This rule collects the Requests per Second for the Apache Virtual Host (Web site),Interval,int,300,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.ManagedServer.Unix.KBPerSecond.Collection,Rule,Apache HTTP Server KB per Second Collection,This rule collects the total KB per Second for the Apache HTTP Server,Enabled,bool,onStandardMonitoring,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.ManagedServer.Unix.KBPerSecond.Collection,Rule,Apache HTTP Server KB per Second Collection,This rule collects the total KB per Second for the Apache HTTP Server,Interval,int,300,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.ManagedServer.Unix.RequestsPerSecond.Collection,Rule,Apache HTTP Server Requests per Second Collection,This rule collects the total Requests per Second for the Apache HTTP Server,Enabled,bool,onStandardMonitoring,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.ManagedServer.Unix.RequestsPerSecond.Collection,Rule,Apache HTTP Server Requests per Second Collection,This rule collects the total Requests per Second for the Apache HTTP Server,Interval,int,300,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.ManagedServer.Unix.TotalPctCPU.Collection,Rule,Apache HTTP Server Total Percent CPU Collection,This rule collects the Total Percent CPU for the Apache HTTP Server processes,Enabled,bool,onStandardMonitoring,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.ManagedServer.Unix.TotalPctCPU.Collection,Rule,Apache HTTP Server Total Percent CPU Collection,This rule collects the Total Percent CPU for the Apache HTTP Server processes,Interval,int,300,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.KBPerSecond.Collection,Rule,Apache Virtual Host KB per Second Collection,This rule collects the KB per Second for the Apache Virtual Host (Web site),Enabled,bool,onStandardMonitoring,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.KBPerSecond.Collection,Rule,Apache Virtual Host KB per Second Collection,This rule collects the KB per Second for the Apache Virtual Host (Web site),Interval,int,300,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.TotalResponseTime.Collection,Rule,Apache Virtual Host Total Web Response Time Collection,"This rule collects the base page Total Response Time, from a remote web request, for the Apache Virtual Host (Web Site).",Enabled,bool,FALSE,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.TotalResponseTime.Collection,Rule,Apache Virtual Host Total Web Response Time Collection,"This rule collects the base page Total Response Time, from a remote web request, for the Apache Virtual Host (Web Site).",CredentialPassword,string,,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.TotalResponseTime.Collection,Rule,Apache Virtual Host Total Web Response Time Collection,"This rule collects the base page Total Response Time, from a remote web request, for the Apache Virtual Host (Web Site).",Proxy,string,,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.TotalResponseTime.Collection,Rule,Apache Virtual Host Total Web Response Time Collection,"This rule collects the base page Total Response Time, from a remote web request, for the Apache Virtual Host (Web Site).",ProxyAuthenticationScheme,string,None,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.TotalResponseTime.Collection,Rule,Apache Virtual Host Total Web Response Time Collection,"This rule collects the base page Total Response Time, from a remote web request, for the Apache Virtual Host (Web Site).",ProxyPassword,string,,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.TotalResponseTime.Collection,Rule,Apache Virtual Host Total Web Response Time Collection,"This rule collects the base page Total Response Time, from a remote web request, for the Apache Virtual Host (Web Site).",CredentialUserName,string,,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.TotalResponseTime.Collection,Rule,Apache Virtual Host Total Web Response Time Collection,"This rule collects the base page Total Response Time, from a remote web request, for the Apache Virtual Host (Web Site).",URL,string,"http://$Target/Property[Type=""Microsoft.ApacheHTTPServer.VirtualHost""]/ServerName$",
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.TotalResponseTime.Collection,Rule,Apache Virtual Host Total Web Response Time Collection,"This rule collects the base page Total Response Time, from a remote web request, for the Apache Virtual Host (Web Site).",AuthenticationScheme,string,None,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.TotalResponseTime.Collection,Rule,Apache Virtual Host Total Web Response Time Collection,"This rule collects the base page Total Response Time, from a remote web request, for the Apache Virtual Host (Web Site).",ProxyUserName,string,,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.TotalResponseTime.Collection,Rule,Apache Virtual Host Total Web Response Time Collection,"This rule collects the base page Total Response Time, from a remote web request, for the Apache Virtual Host (Web Site).",RetryCount,int,1,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.TotalResponseTime.Collection,Rule,Apache Virtual Host Total Web Response Time Collection,"This rule collects the base page Total Response Time, from a remote web request, for the Apache Virtual Host (Web Site).",Interval,int,300,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.TotalResponseTime.Collection,Rule,Apache Virtual Host Total Web Response Time Collection,"This rule collects the base page Total Response Time, from a remote web request, for the Apache Virtual Host (Web Site).",RequestTimeout,int,120,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.ErrorsPerMinute500.Collection,Rule,Apache Virtual Host Errors per Minute (Server) Collection,This rule collects the Server Errors per Minute(status code 500-599) for the Apache Virtual Host (Web site),Enabled,bool,onStandardMonitoring,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.ErrorsPerMinute500.Collection,Rule,Apache Virtual Host Errors per Minute (Server) Collection,This rule collects the Server Errors per Minute(status code 500-599) for the Apache Virtual Host (Web site),Interval,int,300,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.ErrorsPerMinute400.Collection,Rule,Apache Virtual Host Errors per Minute (Client) Collection,This rule collects the Client Errors per Minute (status code 400-499) for the Apache Virtual Host (Web site),Enabled,bool,onStandardMonitoring,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.ErrorsPerMinute400.Collection,Rule,Apache Virtual Host Errors per Minute (Client) Collection,This rule collects the Client Errors per Minute (status code 400-499) for the Apache Virtual Host (Web site),Interval,int,300,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.KBPerRequest.Collection,Rule,Apache Virtual Host KB per Request Collection,This rule collects the KB per Request for the Apache Virtual Host (Web site),Enabled,bool,onStandardMonitoring,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.KBPerRequest.Collection,Rule,Apache Virtual Host KB per Request Collection,This rule collects the KB per Request for the Apache Virtual Host (Web site),Interval,int,300,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.ManagedServer.Unix.BusyWorkers.Collection,Rule,Apache HTTP Server Busy Workers Collection,This rule collects the current Busy Workers for the Apache HTTP Server,Enabled,bool,onStandardMonitoring,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.ManagedServer.Unix.BusyWorkers.Collection,Rule,Apache HTTP Server Busy Workers Collection,This rule collects the current Busy Workers for the Apache HTTP Server,Interval,int,300,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.ErrorLog.Alert,Rule,Apache Virtual Host Error Log Event Alert,This rule generates an alert if a line logged to the Virtual Host's error log matches the defined regular expression.,Enabled,bool,FALSE,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.ErrorLog.Alert,Rule,Apache Virtual Host Error Log Event Alert,This rule generates an alert if a line logged to the Virtual Host's error log matches the defined regular expression.,RegExpFilter,string,error,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.ErrorLog.Alert,Rule,Apache Virtual Host Error Log Event Alert,This rule generates an alert if a line logged to the Virtual Host's error log matches the defined regular expression.,Host,string,"$Target/Host/Host/Property[Type=""Unix!Microsoft.Unix.Computer""]/PrincipalName$",
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.ErrorLog.Alert,Rule,Apache Virtual Host Error Log Event Alert,This rule generates an alert if a line logged to the Virtual Host's error log matches the defined regular expression.,IndividualAlerts,bool,FALSE,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.ErrorLog.Alert,Rule,Apache Virtual Host Error Log Event Alert,This rule generates an alert if a line logged to the Virtual Host's error log matches the defined regular expression.,LogFile,string,"$Target/Property[Type=""Microsoft.ApacheHTTPServer.VirtualHost""]/ErrorLog$",
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.ErrorLog.Alert,Rule,Apache Virtual Host Error Log Event Alert,This rule generates an alert if a line logged to the Virtual Host's error log matches the defined regular expression.,Severity,int,0,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.VirtualHost.Unix.ErrorLog.Alert,Rule,Apache Virtual Host Error Log Event Alert,This rule generates an alert if a line logged to the Virtual Host's error log matches the defined regular expression.,Priority,int,1,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.ManagedServer.Unix.ErrorsPerMinute500.Collection,Rule,Apache HTTP Server Errors per Minute (Server) Collection,This rule collects the total Server Errors per Minute (status code 500-599) for the Apache HTTP Server,Enabled,bool,onStandardMonitoring,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.ManagedServer.Unix.ErrorsPerMinute500.Collection,Rule,Apache HTTP Server Errors per Minute (Server) Collection,This rule collects the total Server Errors per Minute (status code 500-599) for the Apache HTTP Server,Interval,int,300,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.ManagedServer.Unix.KBPerRequest.Collection,Rule,Apache HTTP Server KB per Request Collection,This rule collects the total KB per Request for the Apache HTTP Server,Enabled,bool,onStandardMonitoring,
Microsoft.ApacheHTTPServer.Library,Microsoft.ApacheHTTPServer.ManagedServer.Unix.KBPerRequest.Collection,Rule,Apache HTTP Server KB per Request Collection,This rule collects the total KB per Request for the Apache HTTP Server,Interval,int,300,
