ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Minimal,Notes
Comtrade.F5.BigIp,Comtrade.F5.BigIp.Device.DiskPartitionUsage.Perf,Rule,Free Disk Partition Space (in MB) (Performance DB DW),Collects amount of free space per disk partition in megabytes for a BIG-IP device and stores data to OpsMgr and DataWarehouse databases.,Enabled,bool,TRUE,TRUE,
Comtrade.F5.BigIp,Comtrade.F5.BigIp.Device.DiskPartitionUsage.Perf,Rule,Free Disk Partition Space (in MB) (Performance DB DW),Collects amount of free space per disk partition in megabytes for a BIG-IP device and stores data to OpsMgr and DataWarehouse databases.,IntervalSeconds,int,300,,
Comtrade.F5.BigIp,Comtrade.F5.BigIp.Device.DiskPartitionUsage.Perf,Rule,Free Disk Partition Space (in MB) (Performance DB DW),Collects amount of free space per disk partition in megabytes for a BIG-IP device and stores data to OpsMgr and DataWarehouse databases.,UseCache,bool,TRUE,,
Comtrade.F5.BigIp,Comtrade.F5.BigIp.Device.DiskPartitionUsage.Perf,Rule,Free Disk Partition Space (in MB) (Performance DB DW),Collects amount of free space per disk partition in megabytes for a BIG-IP device and stores data to OpsMgr and DataWarehouse databases.,SyncTime,string,,,
Comtrade.F5.BigIp,Comtrade.F5.BigIp.Device.DiskPartitionUsage.Perf,Rule,Free Disk Partition Space (in MB) (Performance DB DW),Collects amount of free space per disk partition in megabytes for a BIG-IP device and stores data to OpsMgr and DataWarehouse databases.,TimeoutSeconds,int,270,,
Comtrade.F5.BigIp,Comtrade.F5.BigIp.Device.DiskPartitionUsage.Perf,Rule,Free Disk Partition Space (in MB) (Performance DB DW),Collects amount of free space per disk partition in megabytes for a BIG-IP device and stores data to OpsMgr and DataWarehouse databases.,Port,int,"$Target/Host/Host/Property[Type=""Comtrade.F5.BigIp.Device""]/MPMonitoringPort$",,
Comtrade.F5.BigIp,Comtrade.F5.BigIp.Device.DiskPartitionUsage.Perf,Rule,Free Disk Partition Space (in MB) (Performance DB DW),Collects amount of free space per disk partition in megabytes for a BIG-IP device and stores data to OpsMgr and DataWarehouse databases.,Debug,bool,FALSE,,
Comtrade.F5.BigIp,Comtrade.F5.BigIp.Device.TMM.MemoryUtilization.Perf,Rule,Used TMM Memory (in %) (Performance DB DW),Collects amount of used TMM memory (in percentages) for a BIG-IP device and stores data to OpsMgr and DataWarehouse databases.,Enabled,bool,TRUE,TRUE,
Comtrade.F5.BigIp,Comtrade.F5.BigIp.Device.TMM.MemoryUtilization.Perf,Rule,Used TMM Memory (in %) (Performance DB DW),Collects amount of used TMM memory (in percentages) for a BIG-IP device and stores data to OpsMgr and DataWarehouse databases.,IntervalSeconds,int,300,,
Comtrade.F5.BigIp,Comtrade.F5.BigIp.Device.TMM.MemoryUtilization.Perf,Rule,Used TMM Memory (in %) (Performance DB DW),Collects amount of used TMM memory (in percentages) for a BIG-IP device and stores data to OpsMgr and DataWarehouse databases.,UseCache,bool,TRUE,,
