ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Balanced,Essential,Full,Notes
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.A.script.has.not.responded.within.the.configured.timeout.period,Rule,A script has not responded within the configured timeout period.,A script has not responded within the configured timeout period.,Enabled,bool,TRUE,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.A.script.has.not.responded.within.the.configured.timeout.period,Rule,A script has not responded within the configured timeout period.,A script has not responded within the configured timeout period.,Priority,int,1,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.A.script.has.not.responded.within.the.configured.timeout.period,Rule,A script has not responded within the configured timeout period.,A script has not responded within the configured timeout period.,Severity,int,1,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.A.server.side.include.file.has.included.itself.or.the.maximum.depth.of.server.side.includes.has.been.exceeded,Rule,A server side include file has included itself or the maximum depth of server side includes has been exceeded,A server side include file has included itself or the maximum depth of server side includes has been exceeded,Enabled,bool,TRUE,FALSE,FALSE,,Reduced alerting for both Essentials and Balanced configurations
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.A.server.side.include.file.has.included.itself.or.the.maximum.depth.of.server.side.includes.has.been.exceeded,Rule,A server side include file has included itself or the maximum depth of server side includes has been exceeded,A server side include file has included itself or the maximum depth of server side includes has been exceeded,Priority,int,1,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.A.server.side.include.file.has.included.itself.or.the.maximum.depth.of.server.side.includes.has.been.exceeded,Rule,A server side include file has included itself or the maximum depth of server side includes has been exceeded,A server side include file has included itself or the maximum depth of server side includes has been exceeded,Severity,int,1,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.Application.pool.disabled.due.to.WAS.request.failure.Monitor,UnitMonitor,Application pool disabled due to WAS request failure,Application pool disabled due to WAS request failure,Enabled,bool,TRUE,,TRUE,,Core IIS Component Monitoring
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.Application.Pool.disabled.due.to.worker.process.failure.Monitor,UnitMonitor,Application Pool disabled due to worker process failure,Application Pool disabled due to worker process failure,Enabled,bool,TRUE,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.Application.pool.has.an.IdleTimeout.equal.to.or.greater.than.the.PeriodicRestart.time,Rule,Application Pool has an Idle Timeout equal to or greater than the Periodic Restart time,Application Pool has an Idle Timeout equal to or greater than the Periodic Restart time,Enabled,bool,TRUE,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.Application.pool.has.an.IdleTimeout.equal.to.or.greater.than.the.PeriodicRestart.time,Rule,Application Pool has an Idle Timeout equal to or greater than the Periodic Restart time,Application Pool has an Idle Timeout equal to or greater than the Periodic Restart time,Priority,int,1,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.Application.pool.has.an.IdleTimeout.equal.to.or.greater.than.the.PeriodicRestart.time,Rule,Application Pool has an Idle Timeout equal to or greater than the Periodic Restart time,Application Pool has an Idle Timeout equal to or greater than the Periodic Restart time,Severity,int,1,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.Application.pool.worker.process.is.unresponsive,Rule,Application Pool worker process is unresponsive,Application Pool worker process is unresponsive,Enabled,bool,TRUE,,,,
