ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Essentials,Balanced,Full,Notes
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.HTTP.Server.could.not.create.a.client.connection.object.for.user,Rule,HTTP Server could not create a client connection object for user,,Enabled,bool,onEssentialMonitoring,FALSE,TRUE,TRUE,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.HTTP.Server.could.not.create.a.client.connection.object.for.user,Rule,HTTP Server could not create a client connection object for user,,Priority,int,1,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.HTTP.Server.could.not.create.a.client.connection.object.for.user,Rule,HTTP Server could not create a client connection object for user,,Severity,int,1,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.UnableToLoadModules,Rule,Agent update that is required for IIS 7 monitoring is not installed,This rule generates an alert if the agent update that is required for IIS 7 monitoring is not installed,Enabled,bool,FALSE,,,TRUE,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.UnableToLoadModules,Rule,Agent update that is required for IIS 7 monitoring is not installed,This rule generates an alert if the agent update that is required for IIS 7 monitoring is not installed,Severity,int,2,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.UnableToLoadModules,Rule,Agent update that is required for IIS 7 monitoring is not installed,This rule generates an alert if the agent update that is required for IIS 7 monitoring is not installed,Priority,int,1,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WebServer.ASP.NETRequestWaitTime.Collection,Rule,ASP.NET\Request Wait Time Performance Rule,,Enabled,bool,FALSE,,,TRUE,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WebServer.ASP.NETRequestWaitTime.Collection,Rule,ASP.NET\Request Wait Time Performance Rule,,Tolerance,double,5,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WebServer.ASP.NETRequestWaitTime.Collection,Rule,ASP.NET\Request Wait Time Performance Rule,,MaximumSampleSeparation,int,4,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WebServer.ASP.NETRequestWaitTime.Collection,Rule,ASP.NET\Request Wait Time Performance Rule,,Frequency,int,300,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WebServer.WebServiceCurrentConnections.Collection,Rule,Web Service\Current Connections (Total) Performance Rule,,Enabled,bool,onEssentialMonitoring,TRUE,TRUE,TRUE,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WebServer.WebServiceCurrentConnections.Collection,Rule,Web Service\Current Connections (Total) Performance Rule,,Tolerance,double,5,8,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WebServer.WebServiceCurrentConnections.Collection,Rule,Web Service\Current Connections (Total) Performance Rule,,MaximumSampleSeparation,int,4,4,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WebServer.WebServiceCurrentConnections.Collection,Rule,Web Service\Current Connections (Total) Performance Rule,,Frequency,int,300,450,,180,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.LegacySMTPServer.SMTPServerMessagesDeliveredSec.Collection,Rule,SMTP Server\Messages Delivered/Sec (Total) Performance Rule,,Enabled,bool,onEssentialMonitoring,TRUE,TRUE,TRUE,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.LegacySMTPServer.SMTPServerMessagesDeliveredSec.Collection,Rule,SMTP Server\Messages Delivered/Sec (Total) Performance Rule,,Tolerance,double,5,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.LegacySMTPServer.SMTPServerMessagesDeliveredSec.Collection,Rule,SMTP Server\Messages Delivered/Sec (Total) Performance Rule,,MaximumSampleSeparation,int,4,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.LegacySMTPServer.SMTPServerMessagesDeliveredSec.Collection,Rule,SMTP Server\Messages Delivered/Sec (Total) Performance Rule,,Frequency,int,300,450,,180,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.HTTP.Server.was.unable.to.initialize.due.to.a.shortage.of.available.memory,Rule,HTTP Server was unable to initialize due to a shortage of available memory,,Enabled,bool,onEssentialMonitoring,TRUE,TRUE,TRUE,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.HTTP.Server.was.unable.to.initialize.due.to.a.shortage.of.available.memory,Rule,HTTP Server was unable to initialize due to a shortage of available memory,,Priority,int,1,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.HTTP.Server.was.unable.to.initialize.due.to.a.shortage.of.available.memory,Rule,HTTP Server was unable to initialize due to a shortage of available memory,,Severity,int,1,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WebServer.WebServiceISAPIExtensionRequestsSec.Collection,Rule,Web Service\ISAPI Extension Requests/sec (Total) Performance Rule,,Enabled,bool,FALSE,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WebServer.WebServiceISAPIExtensionRequestsSec.Collection,Rule,Web Service\ISAPI Extension Requests/sec (Total) Performance Rule,,Tolerance,double,5,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WebServer.WebServiceISAPIExtensionRequestsSec.Collection,Rule,Web Service\ISAPI Extension Requests/sec (Total) Performance Rule,,MaximumSampleSeparation,int,4,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WebServer.WebServiceISAPIExtensionRequestsSec.Collection,Rule,Web Service\ISAPI Extension Requests/sec (Total) Performance Rule,,Frequency,int,300,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WAS.encountered.an.internal.error.in.its.process.management.of.a.worker.process,Rule,WAS encountered an internal error in while managing a worker process,,Enabled,bool,onEssentialMonitoring,FALSE,TRUE,TRUE,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WAS.encountered.an.internal.error.in.its.process.management.of.a.worker.process,Rule,WAS encountered an internal error in while managing a worker process,,Priority,int,1,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WAS.encountered.an.internal.error.in.its.process.management.of.a.worker.process,Rule,WAS encountered an internal error in while managing a worker process,,Severity,int,1,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WebSite.WebServiceBytesSentSec.Collection,Rule,Web Service\Bytes Sent/sec Performance Rule,,Enabled,bool,FALSE,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WebSite.WebServiceBytesSentSec.Collection,Rule,Web Service\Bytes Sent/sec Performance Rule,,Tolerance,double,5,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WebSite.WebServiceBytesSentSec.Collection,Rule,Web Service\Bytes Sent/sec Performance Rule,,MaximumSampleSeparation,int,4,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WebSite.WebServiceBytesSentSec.Collection,Rule,Web Service\Bytes Sent/sec Performance Rule,,Frequency,int,300,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WebServer.WebServiceBytesSentSec.Collection,Rule,Web Service\Bytes Sent/sec (Total) Performance Rule,,Enabled,bool,onEssentialMonitoring,FALSE,TRUE,TRUE,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WebServer.WebServiceBytesSentSec.Collection,Rule,Web Service\Bytes Sent/sec (Total) Performance Rule,,Tolerance,double,5,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WebServer.WebServiceBytesSentSec.Collection,Rule,Web Service\Bytes Sent/sec (Total) Performance Rule,,MaximumSampleSeparation,int,4,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WebServer.WebServiceBytesSentSec.Collection,Rule,Web Service\Bytes Sent/sec (Total) Performance Rule,,Frequency,int,300,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.The.HTTP.server.encountered.an.error.processing.the.server.side.include.file,Rule,The HTTP server encountered an error processing the server side include file,,Enabled,bool,onEssentialMonitoring,TRUE,TRUE,TRUE,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.The.HTTP.server.encountered.an.error.processing.the.server.side.include.file,Rule,The HTTP server encountered an error processing the server side include file,,Priority,int,1,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.The.HTTP.server.encountered.an.error.processing.the.server.side.include.file,Rule,The HTTP server encountered an error processing the server side include file,,Severity,int,1,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.FailedToPerformApplicationPoolDiscovery,Rule,Failed to perform Application Pool discovery,,Enabled,bool,FALSE,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.FailedToPerformApplicationPoolDiscovery,Rule,Failed to perform Application Pool discovery,,Severity,int,1,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.FailedToPerformApplicationPoolDiscovery,Rule,Failed to perform Application Pool discovery,,Priority,int,1,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WebServer.ASP.NETApplicationsErrorsTotalSec.Collection,Rule,ASP.NET Applications\Errors Total/Sec Performance Rule,,Enabled,bool,FALSE,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WebServer.ASP.NETApplicationsErrorsTotalSec.Collection,Rule,ASP.NET Applications\Errors Total/Sec Performance Rule,,Tolerance,double,5,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WebServer.ASP.NETApplicationsErrorsTotalSec.Collection,Rule,ASP.NET Applications\Errors Total/Sec Performance Rule,,MaximumSampleSeparation,int,4,,,,
Microsoft.Windows.InternetInformationServices.2008,Microsoft.Windows.InternetInformationServices.2008.WebServer.ASP.NETApplicationsErrorsTotalSec.Collection,Rule,ASP.NET Applications\Errors Total/Sec Performance Rule,,Frequency,int,300,,,,
