ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Balanced,Essentials,Full,Notes
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.Failed.To.Perform.Web.Site.Discovery,Rule,Failed to perform Web Site discovery,Failed to perform Web Site discovery,Enabled,bool,FALSE,,,TRUE,Additional monitoring enabled for the full configuration.
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.Failed.To.Perform.Web.Site.Discovery,Rule,Failed to perform Web Site discovery,Failed to perform Web Site discovery,Severity,int,1,,,,
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.Failed.To.Perform.Web.Site.Discovery,Rule,Failed to perform Web Site discovery,Failed to perform Web Site discovery,Priority,int,1,,,,
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.WebSite.WebServiceCurrentConnections.Collection,Rule,Web Service\Current Connections Performance Rule,Web Service\Current Connections Performance Rule,Enabled,bool,FALSE,,,TRUE,Additional monitoring enabled for the full configuration.
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.WebSite.WebServiceCurrentConnections.Collection,Rule,Web Service\Current Connections Performance Rule,Web Service\Current Connections Performance Rule,Tolerance,double,5,,,,
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.WebSite.WebServiceCurrentConnections.Collection,Rule,Web Service\Current Connections Performance Rule,Web Service\Current Connections Performance Rule,MaximumSampleSeparation,int,4,,,,
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.WebSite.WebServiceCurrentConnections.Collection,Rule,Web Service\Current Connections Performance Rule,Web Service\Current Connections Performance Rule,Frequency,int,300,,,,
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.FailedToFindApplicationPoolWhileRetrievingState,Rule,Failed to find Application Pool while attempting to retrieve state,Failed to find Application Pool while attempting to retrieve state,Enabled,bool,FALSE,,,,
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.FailedToFindApplicationPoolWhileRetrievingState,Rule,Failed to find Application Pool while attempting to retrieve state,Failed to find Application Pool while attempting to retrieve state,Severity,int,1,,,,
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.FailedToFindApplicationPoolWhileRetrievingState,Rule,Failed to find Application Pool while attempting to retrieve state,Failed to find Application Pool while attempting to retrieve state,Priority,int,1,,,,
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.The.configuration.manager.for.WAS.did.not.initialize,Rule,The configuration manager for WAS did not initialize,The configuration manager for WAS did not initialize,Enabled,bool,TRUE,FALSE,FALSE,,Reduced alerting for both Essentials and Balanced configurations
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.The.configuration.manager.for.WAS.did.not.initialize,Rule,The configuration manager for WAS did not initialize,The configuration manager for WAS did not initialize,Priority,int,1,,,,
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.The.configuration.manager.for.WAS.did.not.initialize,Rule,The configuration manager for WAS did not initialize,The configuration manager for WAS did not initialize,Severity,int,2,,,,
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.A.server.side.include.file.has.included.itself.or.the.maximum.depth.of.server.side.includes.has.been.exceeded,Rule,A server side include file has included itself or the maximum depth of server side includes has been exceeded,A server side include file has included itself or the maximum depth of server side includes has been exceeded,Enabled,bool,TRUE,FALSE,FALSE,,Reduced alerting for both Essentials and Balanced configurations
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.A.server.side.include.file.has.included.itself.or.the.maximum.depth.of.server.side.includes.has.been.exceeded,Rule,A server side include file has included itself or the maximum depth of server side includes has been exceeded,A server side include file has included itself or the maximum depth of server side includes has been exceeded,Priority,int,1,,,,
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.A.server.side.include.file.has.included.itself.or.the.maximum.depth.of.server.side.includes.has.been.exceeded,Rule,A server side include file has included itself or the maximum depth of server side includes has been exceeded,A server side include file has included itself or the maximum depth of server side includes has been exceeded,Severity,int,1,,,,
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.FailedToPerformFTPServerDiscovery,Rule,Failed to perform FTP server discovery,Failed to perform FTP server discovery,Enabled,bool,FALSE,,,,
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.FailedToPerformFTPServerDiscovery,Rule,Failed to perform FTP server discovery,Failed to perform FTP server discovery,Severity,int,1,,,,
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.FailedToPerformFTPServerDiscovery,Rule,Failed to perform FTP server discovery,Failed to perform FTP server discovery,Priority,int,1,,,,
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.FailedToRetrieveSiteState,Rule,Failed to retrieve site state,,Enabled,bool,FALSE,,,TRUE,Additional monitoring enabled for the full configuration.
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.FailedToRetrieveSiteState,Rule,Failed to retrieve site state,,Severity,int,1,,,,
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.FailedToRetrieveSiteState,Rule,Failed to retrieve site state,,Priority,int,1,,,,
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.Application.pool.worker.process.is.unresponsive,Rule,Application Pool worker process is unresponsive,Application Pool worker process is unresponsive,Enabled,bool,TRUE,,,,
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.Application.pool.worker.process.is.unresponsive,Rule,Application Pool worker process is unresponsive,Application Pool worker process is unresponsive,Severity,int,1,,,,
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.Application.pool.worker.process.is.unresponsive,Rule,Application Pool worker process is unresponsive,Application Pool worker process is unresponsive,Priority,int,1,,,,
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.Worker.process.serving.application.pool.was.orphaned,Rule,Worker process serving application pool was orphaned,Worker process serving application pool was orphaned,Enabled,bool,TRUE,,,,
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.Worker.process.serving.application.pool.was.orphaned,Rule,Worker process serving application pool was orphaned,Worker process serving application pool was orphaned,Priority,int,1,,,,
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.Worker.process.serving.application.pool.was.orphaned,Rule,Worker process serving application pool was orphaned,Worker process serving application pool was orphaned,Severity,int,1,,,,
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.FTPServer.FTPServiceBytesReceivedSec.Collection,Rule,FTP Service\Bytes Received/sec Performance Rule,FTP Service\Bytes Received/sec Performance Rule,Enabled,bool,FALSE,,,TRUE,Additional performance collection for full configuration
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.FTPServer.FTPServiceBytesReceivedSec.Collection,Rule,FTP Service\Bytes Received/sec Performance Rule,FTP Service\Bytes Received/sec Performance Rule,Tolerance,double,5,,,,
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.FTPServer.FTPServiceBytesReceivedSec.Collection,Rule,FTP Service\Bytes Received/sec Performance Rule,FTP Service\Bytes Received/sec Performance Rule,MaximumSampleSeparation,int,4,,,,
Microsoft.Windows.InternetInformationServices.2012,Microsoft.Windows.InternetInformationServices.6.2.FTPServer.FTPServiceBytesReceivedSec.Collection,Rule,FTP Service\Bytes Received/sec Performance Rule,FTP Service\Bytes Received/sec Performance Rule,Frequency,int,300,,,,
