ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Balanced,Essentials,Full,Notes
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DiscoveryWarning.Rule,Rule,MSSQL 2012: Discovery warning,The rule traces problematic discovery workflows and generates warning alerts.,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DiscoveryWarning.Rule,Rule,MSSQL 2012: Discovery warning,The rule traces problematic discovery workflows and generates warning alerts.,Severity,int,1,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DiscoveryWarning.Rule,Rule,MSSQL 2012: Discovery warning,The rule traces problematic discovery workflows and generates warning alerts.,Priority,int,1,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DiscoveryFailed.Rule,Rule,MSSQL 2012: Discovery failed,The rule traces failed discovery workflows and generates error alerts.,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DiscoveryFailed.Rule,Rule,MSSQL 2012: Discovery failed,The rule traces failed discovery workflows and generates error alerts.,Severity,int,2,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DiscoveryFailed.Rule,Rule,MSSQL 2012: Discovery failed,The rule traces failed discovery workflows and generates error alerts.,Priority,int,1,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.PopulateSQLServersInstanceGroup,Discovery,Populate Microsoft SQL Server 2012 Instance Group,This object discovery populates SQL Server 2012 Instance Group with all SQL Server 2012 DB Engine.,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.PopulateSQLServersReplicationGroup,Discovery,[Deprecated] Populate Microsoft SQL Server 2012 Replication Computers Group,This object discovery populates SQL Server 2012 Replication Component computer group with all computers that are running an instance of SQL Server 2012 DB Engine and have some replication components configured. Considered to be obsolete in this Management Pack.,Enabled,bool,FALSE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.Discovery.EventLogCollectionTarget,Discovery,SQL Server 2012 Event Log Collection Target Discovery,This discovery rule discovers an event log collection target for a Microsoft SQL Server 2012. This object is used to collect module errors from event log of computers that have SQL Server 2012 components.,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.Discovery.EventLogCollectionTarget,Discovery,SQL Server 2012 Event Log Collection Target Discovery,This discovery rule discovers an event log collection target for a Microsoft SQL Server 2012. This object is used to collect module errors from event log of computers that have SQL Server 2012 components.,TimeoutSeconds,int,300,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.Discovery.EventLogCollectionTarget,Discovery,SQL Server 2012 Event Log Collection Target Discovery,This discovery rule discovers an event log collection target for a Microsoft SQL Server 2012. This object is used to collect module errors from event log of computers that have SQL Server 2012 components.,Frequency,int,14400,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.Discovery.EventLogCollectionTarget,Discovery,SQL Server 2012 Event Log Collection Target Discovery,This discovery rule discovers an event log collection target for a Microsoft SQL Server 2012. This object is used to collect module errors from event log of computers that have SQL Server 2012 components.,SyncTime,string,,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.IntegrationServicesDiscoveryRule.Server,Discovery,Discover SQL Server 2012 Integration Services (Windows Server),This object discovery discovers if SQL Server 2012 Integrate Services is installed.,Enabled,bool,TRUE,,,,
