ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Balanced,Essential,Full,Notes
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.PendingFinalizationCount,Rule,JVM object pending finalization (garbage collection),The approximate number of objects pending finalization in the Java Virtual Machine.,TimeoutSeconds,int,300,,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.LoadedClassCount,Rule,JVM loaded class count,The number of Java classes that are currently loaded by the Java Virtual Machine.,TimeoutSeconds,int,300,,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.HeapMaximumMemory,Rule,JVM maximum heap memory,The maximum amount of heap memory (in bytes) that can be used for memory management by the Java Virtual Machine.,TimeoutSeconds,int,300,,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.HeapCommittedMemory,Rule,JVM maximum heap memory committed,The amount of heap memory (in bytes) that is committed for the Java Virtual Machine to use.,TimeoutSeconds,int,300,,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.HeapInitialMemoryAllocated,Rule,JVM initial heap memory allocated,The amount of heap memory (in bytes) initially requested by the Java Virtual Machine.,TimeoutSeconds,int,300,,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.TotalLoadedClassCountDelta,Rule,JVM total loaded class count change rate,The change in the number of Java classes that have been loaded by the Java  Virtual Machine since it was started.,TimeoutSeconds,int,300,,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.ThreadCount,Rule,JVM current running thread count,The number of Java threads that are currently running in the Java Virtual Machine.,TimeoutSeconds,int,300,,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.PercentHeapMemoryUsed,Rule,JVM percent heap memory used,The percentage of heap memory used by the Java Virtual Machine.,TimeoutSeconds,int,300,,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.GCCollectionCountDelta,Rule,JVM garbage collector collection count change rate,The change in the number of garbage collections for the specified garbage Collector between samples for the Java Virtual Machine.,TimeoutSeconds,int,300,,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.UnloadedClassCountDelta,Rule,JVM total unloaded class count change rate,The change in the total number of Java classes that have been unloaded by the Java Virtual Machine since it was started.,TimeoutSeconds,int,300,,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.TotalCompilationTimeDelta,Rule,JVM JIT compiler time change rate,The change in compile time between samples of the Java Virtual Machine's Just-In-Time compiler.,TimeoutSeconds,int,300,,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.HeapUsedMemory,Rule,JVM heap memory used,The amount of heap memory (in bytes) that is currently being used by the Java Virtual Machine.,TimeoutSeconds,int,300,,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.TotalStartedThreadCountDelta,Rule,JVM total started thread count change rate,The change in the total number of Java threads that have been started by the Java Virtual Machine since it was started.,TimeoutSeconds,int,300,,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.GCCollectionTimeDelta,Rule,JVM garbage collector collection time change rate,The amount of time used by the garbage collector between samples for the Java Virtual Machine.,TimeoutSeconds,int,300,,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.PeakThreadCount,Rule,JVM peak thread count,The highest number of Java threads that have run concurrently in the Java Virtual Machine since it was started.,TimeoutSeconds,int,300,,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.PendingFinalizationCount,Rule,JVM object pending finalization (garbage collection),The approximate number of objects pending finalization in the Java Virtual Machine.,IntervalSeconds,int,900,,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.LoadedClassCount,Rule,JVM loaded class count,The number of Java classes that are currently loaded by the Java Virtual Machine.,IntervalSeconds,int,900,,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.HeapMaximumMemory,Rule,JVM maximum heap memory,The maximum amount of heap memory (in bytes) that can be used for memory management by the Java Virtual Machine.,IntervalSeconds,int,900,,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.HeapCommittedMemory,Rule,JVM maximum heap memory committed,The amount of heap memory (in bytes) that is committed for the Java Virtual Machine to use.,IntervalSeconds,int,900,,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.HeapInitialMemoryAllocated,Rule,JVM initial heap memory allocated,The amount of heap memory (in bytes) initially requested by the Java Virtual Machine.,IntervalSeconds,int,900,,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.TotalLoadedClassCountDelta,Rule,JVM total loaded class count change rate,The change in the number of Java classes that have been loaded by the Java  Virtual Machine since it was started.,IntervalSeconds,int,900,,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.ThreadCount,Rule,JVM current running thread count,The number of Java threads that are currently running in the Java Virtual Machine.,IntervalSeconds,int,900,,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.PercentHeapMemoryUsed,Rule,JVM percent heap memory used,The percentage of heap memory used by the Java Virtual Machine.,IntervalSeconds,int,900,,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.GCCollectionCountDelta,Rule,JVM garbage collector collection count change rate,The change in the number of garbage collections for the specified garbage Collector between samples for the Java Virtual Machine.,IntervalSeconds,int,900,600,,,Increased collection rate
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.UnloadedClassCountDelta,Rule,JVM total unloaded class count change rate,The change in the total number of Java classes that have been unloaded by the Java Virtual Machine since it was started.,IntervalSeconds,int,900,600,,,Increased collection rate
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.TotalCompilationTimeDelta,Rule,JVM JIT compiler time change rate,The change in compile time between samples of the Java Virtual Machine's Just-In-Time compiler.,IntervalSeconds,int,900,600,,,Increased collection rate
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.HeapUsedMemory,Rule,JVM heap memory used,The amount of heap memory (in bytes) that is currently being used by the Java Virtual Machine.,IntervalSeconds,int,900,600,,,Increased collection rate
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.TotalStartedThreadCountDelta,Rule,JVM total started thread count change rate,The change in the total number of Java threads that have been started by the Java Virtual Machine since it was started.,IntervalSeconds,int,900,600,,,Increased collection rate
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.GCCollectionTimeDelta,Rule,JVM garbage collector collection time change rate,The amount of time used by the garbage collector between samples for the Java Virtual Machine.,IntervalSeconds,int,900,600,,,Increased collection rate
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.PeakThreadCount,Rule,JVM peak thread count,The highest number of Java threads that have run concurrently in the Java Virtual Machine since it was started.,IntervalSeconds,int,900,600,,,Increased collection rate
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.GCCollectionCountDelta,Rule,JVM garbage collector collection count change rate,The change in the number of garbage collections for the specified garbage Collector between samples for the Java Virtual Machine.,ComputerName,string,"$Target/Host/Property[Type=""Microsoft.JEE.ApplicationServer.Monitored.Instance""]/HostName$",,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.GCCollectionTimeDelta,Rule,JVM garbage collector collection time change rate,The amount of time used by the garbage collector between samples for the Java Virtual Machine.,ComputerName,string,"$Target/Host/Property[Type=""Microsoft.JEE.ApplicationServer.Monitored.Instance""]/HostName$",,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.GCCollectionCountDelta,Rule,JVM garbage collector collection count change rate,The change in the number of garbage collections for the specified garbage Collector between samples for the Java Virtual Machine.,Port,string,"$Target/Host/Property[Type=""Microsoft.JEE.ApplicationServer.Monitored.Instance""]/Port$",,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.GCCollectionTimeDelta,Rule,JVM garbage collector collection time change rate,The amount of time used by the garbage collector between samples for the Java Virtual Machine.,Port,string,"$Target/Host/Property[Type=""Microsoft.JEE.ApplicationServer.Monitored.Instance""]/Port$",,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.GCCollectionCountDelta,Rule,JVM garbage collector collection count change rate,The change in the number of garbage collections for the specified garbage Collector between samples for the Java Virtual Machine.,Protocol,string,"$Target/Host/Property[Type=""Microsoft.JEE.ApplicationServer.Monitored.Instance""]/Protocol$",,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.GCCollectionTimeDelta,Rule,JVM garbage collector collection time change rate,The amount of time used by the garbage collector between samples for the Java Virtual Machine.,Protocol,string,"$Target/Host/Property[Type=""Microsoft.JEE.ApplicationServer.Monitored.Instance""]/Protocol$",,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.PendingFinalizationCount,Rule,JVM object pending finalization (garbage collection),The approximate number of objects pending finalization in the Java Virtual Machine.,ComputerName,string,"$Target/Property[Type=""Microsoft.JEE.ApplicationServer.Monitored.Instance""]/HostName$",,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.LoadedClassCount,Rule,JVM loaded class count,The number of Java classes that are currently loaded by the Java Virtual Machine.,ComputerName,string,"$Target/Property[Type=""Microsoft.JEE.ApplicationServer.Monitored.Instance""]/HostName$",,,,
Microsoft.JEE.Library,Microsoft.JEE.ApplicationServer.PerformanceData.HeapMaximumMemory,Rule,JVM maximum heap memory,The maximum amount of heap memory (in bytes) that can be used for memory management by the Java Virtual Machine.,ComputerName,string,"$Target/Property[Type=""Microsoft.JEE.ApplicationServer.Monitored.Instance""]/HostName$",,,,
