ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Notes
Microsoft.Linux.RedHat.Library,Microsoft.Linux.RedHat.ComputerGroup.Discovery,Discovery,Discover Red Hat Linux Computer Group,This discovery puts all Red Hat Linux Computers into the Lnux Red Hat Computer Group.,Enabled,bool,TRUE,
Microsoft.Linux.RedHat.Library,Microsoft.Linux.RedHat.Computer.Discovery,Discovery,Discover Red Hat Linux Computer,This rule discovers Red Hat Linux Computers,Enabled,bool,TRUE,
Microsoft.Linux.RedHat.Library,Microsoft.Linux.RedHat.Computer.Discovery,Discovery,Discover Red Hat Linux Computer,This rule discovers Red Hat Linux Computers,OutputErrorIfAny,string,,
Microsoft.Linux.RedHat.Library,Microsoft.Linux.RedHat.Computer.Discovery,Discovery,Discover Red Hat Linux Computer,This rule discovers Red Hat Linux Computers,Interval,int,14400,
Microsoft.Linux.RedHat.Library,Microsoft.Linux.RedHat.Computer.Discovery,Discovery,Discover Red Hat Linux Computer,This rule discovers Red Hat Linux Computers,SyncTime,string,,
Microsoft.Linux.RHEL.5,Microsoft.Linux.RHEL.5.LogicalDisk.DiskBytesPerSecond.Collection,Rule,Logical Disk Bytes/sec (Red Hat Enterprise Linux Server 5),Collection rule for the performance counter Logical Disk\Disk Bytes/sec,Enabled,bool,TRUE,
Microsoft.Linux.RHEL.5,Microsoft.Linux.RHEL.5.LogicalDisk.DiskBytesPerSecond.Collection,Rule,Logical Disk Bytes/sec (Red Hat Enterprise Linux Server 5),Collection rule for the performance counter Logical Disk\Disk Bytes/sec,Interval,int,300,
Microsoft.Linux.RHEL.5,Microsoft.Linux.RHEL.5.LogicalDisk.DiskBytesPerSecond.Collection,Rule,Logical Disk Bytes/sec (Red Hat Enterprise Linux Server 5),Collection rule for the performance counter Logical Disk\Disk Bytes/sec,SyncTime,string,,
Microsoft.Linux.RHEL.5,Microsoft.Linux.RHEL.5.OperatingSystem.PageWritesPerSecond.Collection,Rule,Page Writes/sec (Red Hat Enterprise Linux Server 5),Collection rule for the performance counter Memory\Page Writes/sec,Enabled,bool,TRUE,
Microsoft.Linux.RHEL.5,Microsoft.Linux.RHEL.5.OperatingSystem.PageWritesPerSecond.Collection,Rule,Page Writes/sec (Red Hat Enterprise Linux Server 5),Collection rule for the performance counter Memory\Page Writes/sec,Interval,int,300,
Microsoft.Linux.RHEL.5,Microsoft.Linux.RHEL.5.OperatingSystem.PageWritesPerSecond.Collection,Rule,Page Writes/sec (Red Hat Enterprise Linux Server 5),Collection rule for the performance counter Memory\Page Writes/sec,SyncTime,string,,
Microsoft.Linux.RHEL.5,Microsoft.Linux.RHEL.5.Processor.TotalPercentDPCTime.Collection,Rule,Processor % DPC Time (Red Hat Enterprise Linux Server 5),Collects the performance counter Processor\% DPC Time,Enabled,bool,TRUE,
Microsoft.Linux.RHEL.5,Microsoft.Linux.RHEL.5.Processor.TotalPercentDPCTime.Collection,Rule,Processor % DPC Time (Red Hat Enterprise Linux Server 5),Collects the performance counter Processor\% DPC Time,Interval,int,300,
