ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Test,QA,Production,Performance,Notes
Microsoft.SQLServer.Core.Library,Microsoft.SQLServer.Core.Discovery.DBEngineExpressGroup,Discovery,MSSQL: Generic SQL Server Express DB Engine Group Discovery,This discovery rule populates the Express Instance group with all SQL Server Express DBEngines.,Enabled,bool,TRUE,TRUE,TRUE,TRUE,TRUE,
Microsoft.SQLServer.Core.Library,Microsoft.SQLServer.Core.Discovery.DBEngineGroup,Discovery,MSSQL: Generic DB Engine Group Discovery,Generic Microsoft SQL Server DB Engine Group Discovery.,Enabled,bool,TRUE,TRUE,TRUE,TRUE,TRUE,
Microsoft.SQLServer.Core.Library,Microsoft.SQLServer.Core.Discovery.SQLMonitoringPool,Discovery,MSSQL: Generic Monitoring Pool Watcher Discovery,"The discovery is designed to discover all the watcher nodes contained in the pool. If the pool is empty, it will mirror the contents of All Management Servers pool.",Enabled,bool,TRUE,TRUE,TRUE,TRUE,TRUE,
Microsoft.SQLServer.Core.Library,Microsoft.SQLServer.Core.Discovery.SQLMonitoringPool,Discovery,MSSQL: Generic Monitoring Pool Watcher Discovery,"The discovery is designed to discover all the watcher nodes contained in the pool. If the pool is empty, it will mirror the contents of All Management Servers pool.",IntervalSeconds,int,86400,,,,,
Microsoft.SQLServer.Windows.Discovery,Microsoft.SQLServer.Windows.ClusterInstanceRelationshipDiscovery,Discovery,MSSQL on Windows: Discover Local SQL Server Database Engines Should Manage Relationship,This rule discovers Local SQL Server DB Engines Should Manage Relationship on Windows.,Enabled,bool,TRUE,TRUE,TRUE,TRUE,TRUE,
Microsoft.SQLServer.Windows.Discovery,Microsoft.SQLServer.Windows.ClusterInstanceRelationshipDiscovery,Discovery,MSSQL on Windows: Discover Local SQL Server Database Engines Should Manage Relationship,This rule discovers Local SQL Server DB Engines Should Manage Relationship on Windows.,IntervalSeconds,int,60,,,,,
Microsoft.SQLServer.Windows.Discovery,Microsoft.SQLServer.Windows.ClusterInstanceRelationshipDiscovery,Discovery,MSSQL on Windows: Discover Local SQL Server Database Engines Should Manage Relationship,This rule discovers Local SQL Server DB Engines Should Manage Relationship on Windows.,SyncTime,string,,,,,,
Microsoft.SQLServer.Windows.Discovery,Microsoft.SQLServer.Windows.ClusterInstanceRelationshipDiscovery,Discovery,MSSQL on Windows: Discover Local SQL Server Database Engines Should Manage Relationship,This rule discovers Local SQL Server DB Engines Should Manage Relationship on Windows.,TimeoutSeconds,int,55,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.A_SQL_job_failed_to_complete_successfully_1_5_Rule,Rule,MSSQL on Windows: A SQL job failed to complete successfully,"A SQL Server Agent Job Failed. The SQL Server Agent is responsible for running SQL Server tasks scheduled to occur at specific times or intervals as well as detecting specific conditions for which administrators have defined an action, such as alerting someone through pages or e-mail, or a task that will address the conditions. The SQL Server Agent is also used for running replication tasks defined by administrators. Note: This rule is disabled by default. Please use overrides to enable it when necessary.",AllowProxying,bool,FALSE,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.A_SQL_job_failed_to_complete_successfully_1_5_Rule,Rule,MSSQL on Windows: A SQL job failed to complete successfully,"A SQL Server Agent Job Failed. The SQL Server Agent is responsible for running SQL Server tasks scheduled to occur at specific times or intervals as well as detecting specific conditions for which administrators have defined an action, such as alerting someone through pages or e-mail, or a task that will address the conditions. The SQL Server Agent is also used for running replication tasks defined by administrators. Note: This rule is disabled by default. Please use overrides to enable it when necessary.",Enabled,bool,FALSE,FALSE,FALSE,FALSE,TRUE,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.A_SQL_job_failed_to_complete_successfully_1_5_Rule,Rule,MSSQL on Windows: A SQL job failed to complete successfully,"A SQL Server Agent Job Failed. The SQL Server Agent is responsible for running SQL Server tasks scheduled to occur at specific times or intervals as well as detecting specific conditions for which administrators have defined an action, such as alerting someone through pages or e-mail, or a task that will address the conditions. The SQL Server Agent is also used for running replication tasks defined by administrators. Note: This rule is disabled by default. Please use overrides to enable it when necessary.",Priority,int,1,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.A_SQL_job_failed_to_complete_successfully_1_5_Rule,Rule,MSSQL on Windows: A SQL job failed to complete successfully,"A SQL Server Agent Job Failed. The SQL Server Agent is responsible for running SQL Server tasks scheduled to occur at specific times or intervals as well as detecting specific conditions for which administrators have defined an action, such as alerting someone through pages or e-mail, or a task that will address the conditions. The SQL Server Agent is also used for running replication tasks defined by administrators. Note: This rule is disabled by default. Please use overrides to enable it when necessary.",Severity,int,2,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.Alert_engine_stopped_due_to_unrecoverable_local_eventlog_errors_1_5_Rule,Rule,MSSQL on Windows: Alert engine stopped due to unrecoverable local eventlog errors,SQL Server Agent was unable to open the local event log.,AllowProxying,bool,FALSE,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.Alert_engine_stopped_due_to_unrecoverable_local_eventlog_errors_1_5_Rule,Rule,MSSQL on Windows: Alert engine stopped due to unrecoverable local eventlog errors,SQL Server Agent was unable to open the local event log.,Enabled,bool,TRUE,FALSE,TRUE,TRUE,TRUE,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.Alert_engine_stopped_due_to_unrecoverable_local_eventlog_errors_1_5_Rule,Rule,MSSQL on Windows: Alert engine stopped due to unrecoverable local eventlog errors,SQL Server Agent was unable to open the local event log.,Priority,int,1,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.Alert_engine_stopped_due_to_unrecoverable_local_eventlog_errors_1_5_Rule,Rule,MSSQL on Windows: Alert engine stopped due to unrecoverable local eventlog errors,SQL Server Agent was unable to open the local event log.,Severity,int,1,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.Job_step_cannot_be_run_because_the_subsystem_failed_to_load_1_5_Rule,Rule,MSSQL on Windows: Job step cannot be run because the subsystem failed to load,A SQL Server job failed to run because the SQL Server Agent subsystem failed to load.,AllowProxying,bool,FALSE,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.Job_step_cannot_be_run_because_the_subsystem_failed_to_load_1_5_Rule,Rule,MSSQL on Windows: Job step cannot be run because the subsystem failed to load,A SQL Server job failed to run because the SQL Server Agent subsystem failed to load.,Enabled,bool,TRUE,FALSE,TRUE,TRUE,TRUE,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.Job_step_cannot_be_run_because_the_subsystem_failed_to_load_1_5_Rule,Rule,MSSQL on Windows: Job step cannot be run because the subsystem failed to load,A SQL Server job failed to run because the SQL Server Agent subsystem failed to load.,Priority,int,1,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.Job_step_cannot_be_run_because_the_subsystem_failed_to_load_1_5_Rule,Rule,MSSQL on Windows: Job step cannot be run because the subsystem failed to load,A SQL Server job failed to run because the SQL Server Agent subsystem failed to load.,Severity,int,1,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.SQLServerAgent_could_not_be_started_1_5_Rule,Rule,MSSQL on Windows: SQL Server Agent could not be started,"A process or a person attempted to start the SQL Server Agent service, but the service did not start.",AllowProxying,bool,FALSE,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.SQLServerAgent_could_not_be_started_1_5_Rule,Rule,MSSQL on Windows: SQL Server Agent could not be started,"A process or a person attempted to start the SQL Server Agent service, but the service did not start.",Enabled,bool,TRUE,FALSE,TRUE,TRUE,TRUE,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.SQLServerAgent_could_not_be_started_1_5_Rule,Rule,MSSQL on Windows: SQL Server Agent could not be started,"A process or a person attempted to start the SQL Server Agent service, but the service did not start.",Priority,int,1,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.SQLServerAgent_could_not_be_started_1_5_Rule,Rule,MSSQL on Windows: SQL Server Agent could not be started,"A process or a person attempted to start the SQL Server Agent service, but the service did not start.",Severity,int,1,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.SQLServerAgent_initiating_self_termination_1_5_Rule,Rule,MSSQL on Windows: SQL Server Agent initiating self-termination,SQL Server Agent has shut down the SQL Server Agent service.,AllowProxying,bool,FALSE,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.SQLServerAgent_initiating_self_termination_1_5_Rule,Rule,MSSQL on Windows: SQL Server Agent initiating self-termination,SQL Server Agent has shut down the SQL Server Agent service.,Enabled,bool,TRUE,FALSE,TRUE,TRUE,TRUE,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.SQLServerAgent_initiating_self_termination_1_5_Rule,Rule,MSSQL on Windows: SQL Server Agent initiating self-termination,SQL Server Agent has shut down the SQL Server Agent service.,Priority,int,1,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.SQLServerAgent_initiating_self_termination_1_5_Rule,Rule,MSSQL on Windows: SQL Server Agent initiating self-termination,SQL Server Agent has shut down the SQL Server Agent service.,Severity,int,1,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.Step_of_a_job_caused_an_exception_in_the_subsystem_1_5_Rule,Rule,MSSQL on Windows: Step of a job caused an exception in the subsystem,A specific job step caused SQL Server Agent to write an error to the Windows Application log. The log will show the specific job and job step.,AllowProxying,bool,FALSE,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.Step_of_a_job_caused_an_exception_in_the_subsystem_1_5_Rule,Rule,MSSQL on Windows: Step of a job caused an exception in the subsystem,A specific job step caused SQL Server Agent to write an error to the Windows Application log. The log will show the specific job and job step.,Enabled,bool,TRUE,FALSE,TRUE,TRUE,TRUE,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.Step_of_a_job_caused_an_exception_in_the_subsystem_1_5_Rule,Rule,MSSQL on Windows: Step of a job caused an exception in the subsystem,A specific job step caused SQL Server Agent to write an error to the Windows Application log. The log will show the specific job and job step.,Priority,int,1,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.Step_of_a_job_caused_an_exception_in_the_subsystem_1_5_Rule,Rule,MSSQL on Windows: Step of a job caused an exception in the subsystem,A specific job step caused SQL Server Agent to write an error to the Windows Application log. The log will show the specific job and job step.,Severity,int,1,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.The_agent_is_suspect._No_response_within_last_minutes_1_5_Rule,Rule,MSSQL on Windows: The agent is suspect. No response within last minutes,"This behavior occurs because the replication agent is too busy to respond when SQL Server Enterprise Manager polls the replication agent; therefore, SQL Server Enterprise Manager does not know the status of the replication agent and it cannot report whether the replication agent is functioning or not.",AllowProxying,bool,FALSE,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.The_agent_is_suspect._No_response_within_last_minutes_1_5_Rule,Rule,MSSQL on Windows: The agent is suspect. No response within last minutes,"This behavior occurs because the replication agent is too busy to respond when SQL Server Enterprise Manager polls the replication agent; therefore, SQL Server Enterprise Manager does not know the status of the replication agent and it cannot report whether the replication agent is functioning or not.",Enabled,bool,TRUE,FALSE,TRUE,TRUE,TRUE,
