ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Test,QA,Production,Performance,Notes
Microsoft.Linux.SLES.12,Microsoft.Linux.SLES.12.OperatingSystem.PageWritesPerSecond.Collection,Rule,Page Writes/sec (SUSE Linux Enterprise Server 12),Collection rule for the performance counter Memory\Page Writes/sec,Enabled,bool,TRUE,,,,,
Microsoft.Linux.SLES.12,Microsoft.Linux.SLES.12.OperatingSystem.PageWritesPerSecond.Collection,Rule,Page Writes/sec (SUSE Linux Enterprise Server 12),Collection rule for the performance counter Memory\Page Writes/sec,Interval,int,300,900,600,300,120,
Microsoft.Linux.SLES.12,Microsoft.Linux.SLES.12.OperatingSystem.PageWritesPerSecond.Collection,Rule,Page Writes/sec (SUSE Linux Enterprise Server 12),Collection rule for the performance counter Memory\Page Writes/sec,SyncTime,string,,,,,,
Microsoft.Linux.SLES.12,Microsoft.Linux.SLES.12.LogFile.Syslog.SSHAuth.PAM.Root.Failure.Alert,Rule,SSH Authentication Failure alert rule,Alert rule for detection of SSH Authentication failures.,Enabled,bool,TRUE,,,,,
Microsoft.Linux.SLES.12,Microsoft.Linux.SLES.12.LogFile.Syslog.SSHAuth.PAM.Root.Failure.Alert,Rule,SSH Authentication Failure alert rule,Alert rule for detection of SSH Authentication failures.,RegExpFilter,string,\s+sshd\[[[:digit:]]+\]: error: PAM: Authentication failure for (illegal user )?root from \S+,,,,,
Microsoft.Linux.SLES.12,Microsoft.Linux.SLES.12.LogFile.Syslog.SSHAuth.PAM.Root.Failure.Alert,Rule,SSH Authentication Failure alert rule,Alert rule for detection of SSH Authentication failures.,Host,string,"$Target/Property[Type=""Unix!Microsoft.Unix.Computer""]/PrincipalName$",,,,,
Microsoft.Linux.SLES.12,Microsoft.Linux.SLES.12.LogFile.Syslog.SSHAuth.PAM.Root.Failure.Alert,Rule,SSH Authentication Failure alert rule,Alert rule for detection of SSH Authentication failures.,IndividualAlerts,bool,FALSE,,,,,
Microsoft.Linux.SLES.12,Microsoft.Linux.SLES.12.LogFile.Syslog.SSHAuth.PAM.Root.Failure.Alert,Rule,SSH Authentication Failure alert rule,Alert rule for detection of SSH Authentication failures.,LogFile,string,/var/log/messages,,,,,
Microsoft.Linux.SLES.12,Microsoft.Linux.SLES.12.LogFile.Syslog.SSHAuth.PAM.Root.Failure.Alert,Rule,SSH Authentication Failure alert rule,Alert rule for detection of SSH Authentication failures.,Severity,int,2,,,,,
Microsoft.Linux.SLES.12,Microsoft.Linux.SLES.12.LogFile.Syslog.SSHAuth.PAM.Root.Failure.Alert,Rule,SSH Authentication Failure alert rule,Alert rule for detection of SSH Authentication failures.,Priority,int,1,,,,,
Microsoft.Linux.SLES.12,Microsoft.Linux.SLES.12.OperatingSystem.TotalPercentProcessorTime.Collection,Rule,Total Processor % Processor Time (SUSE Linux Enterprise Server 12),Collects the performance counter Processor\% Processor Time,Enabled,bool,TRUE,,,,,
Microsoft.Linux.SLES.12,Microsoft.Linux.SLES.12.OperatingSystem.TotalPercentProcessorTime.Collection,Rule,Total Processor % Processor Time (SUSE Linux Enterprise Server 12),Collects the performance counter Processor\% Processor Time,Interval,int,300,900,600,300,120,
Microsoft.Linux.SLES.12,Microsoft.Linux.SLES.12.OperatingSystem.TotalPercentProcessorTime.Collection,Rule,Total Processor % Processor Time (SUSE Linux Enterprise Server 12),Collects the performance counter Processor\% Processor Time,SyncTime,string,,,,,,
Microsoft.Linux.SLES.12,Microsoft.Linux.SLES.12.LogicalDisk.PercentFreeInodes.Collection,Rule,% Free Inodes (SUSE Linux Enterprise Server 12),Collection rule for the performance counter Logical Disk\% Free Inodes,Enabled,bool,FALSE,,,,,
Microsoft.Linux.SLES.12,Microsoft.Linux.SLES.12.LogicalDisk.PercentFreeInodes.Collection,Rule,% Free Inodes (SUSE Linux Enterprise Server 12),Collection rule for the performance counter Logical Disk\% Free Inodes,Interval,int,300,900,600,300,120,
Microsoft.Linux.SLES.12,Microsoft.Linux.SLES.12.LogicalDisk.PercentFreeInodes.Collection,Rule,% Free Inodes (SUSE Linux Enterprise Server 12),Collection rule for the performance counter Logical Disk\% Free Inodes,SyncTime,string,,,,,,
Microsoft.Linux.SLES.12,Microsoft.Linux.SLES.12.OperatingSystem.PercentUsedSwapSpace.Collection,Rule,% Used Swap Space (SUSE Linux Enterprise Server 12),Collection rule for the performance counter Swap Space\% Used Swap Space,Enabled,bool,TRUE,,,,,
Microsoft.Linux.SLES.12,Microsoft.Linux.SLES.12.OperatingSystem.PercentUsedSwapSpace.Collection,Rule,% Used Swap Space (SUSE Linux Enterprise Server 12),Collection rule for the performance counter Swap Space\% Used Swap Space,Interval,int,300,900,600,300,120,
Microsoft.Linux.SLES.12,Microsoft.Linux.SLES.12.OperatingSystem.PercentUsedSwapSpace.Collection,Rule,% Used Swap Space (SUSE Linux Enterprise Server 12),Collection rule for the performance counter Swap Space\% Used Swap Space,SyncTime,string,,,,,,
Microsoft.Linux.SLES.12,Microsoft.Linux.SLES.12.OperatingSystem.TotalPercentInterruptTime.Collection,Rule,Total Processor % Interrupt Time (SUSE Linux Enterprise Server 12),Collects the performance counter Processor\% Interrupt Time,Enabled,bool,TRUE,,,,,
Microsoft.Linux.SLES.12,Microsoft.Linux.SLES.12.OperatingSystem.TotalPercentInterruptTime.Collection,Rule,Total Processor % Interrupt Time (SUSE Linux Enterprise Server 12),Collects the performance counter Processor\% Interrupt Time,Interval,int,300,900,600,300,120,
Microsoft.Linux.SLES.12,Microsoft.Linux.SLES.12.OperatingSystem.TotalPercentInterruptTime.Collection,Rule,Total Processor % Interrupt Time (SUSE Linux Enterprise Server 12),Collects the performance counter Processor\% Interrupt Time,SyncTime,string,,,,,,
Microsoft.Linux.SLES.12,Microsoft.Linux.SLES.12.NetworkAdapter.BytesSentPerSec.Collection,Rule,Byte Sent/Sec (SUSE Linux Enterprise Server 12),Collection rule for the performance counter Network Adapter\Bytes Sent/Sec,Enabled,bool,TRUE,,,,,
