ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Notes
Microsoft.Linux.Library,Microsoft.Linux.ComputerGroup.Discovery,Discovery,Discover Linux Computer Group,This discovery puts all Linux Computers into the Linux Computer Group.,Enabled,bool,TRUE,
Microsoft.Unix.Library,Microsoft.Unix.GenerateNodeHeartbeat,Rule,Generate UNIX/Linux Computer Heartbeat,System rule generating heartbeats for device monitoring.,Enabled,bool,TRUE,
Microsoft.Unix.Library,Microsoft.Unix.LogFileModuleErrors.Alert,Rule,Logfile Module Alert Rule,Alert rule for Logfile module error messages.,Enabled,bool,TRUE,
Microsoft.Unix.Library,Microsoft.Unix.LogFileModuleErrors.Alert,Rule,Logfile Module Alert Rule,Alert rule for Logfile module error messages.,Severity,int,2,
Microsoft.Unix.Library,Microsoft.Unix.LogFileModuleErrors.Alert,Rule,Logfile Module Alert Rule,Alert rule for Logfile module error messages.,Priority,int,1,
Microsoft.Unix.Library,Microsoft.Unix.RunAsAccountErrors.Alert,Rule,UNIX/Linux Run As Account Alert Rule,Alert rule for UNIX/Linux Run As account error messages.,Enabled,bool,TRUE,
Microsoft.Unix.Library,Microsoft.Unix.RunAsAccountErrors.Alert,Rule,UNIX/Linux Run As Account Alert Rule,Alert rule for UNIX/Linux Run As account error messages.,Severity,int,1,
Microsoft.Unix.Library,Microsoft.Unix.RunAsAccountErrors.Alert,Rule,UNIX/Linux Run As Account Alert Rule,Alert rule for UNIX/Linux Run As account error messages.,Priority,int,1,
Microsoft.Unix.Library,Microsoft.Unix.WSMan.Certificate.Monitor,UnitMonitor,WS-Management Certificate Health,WS-Management Certificate Monitor,Enabled,bool,TRUE,
Microsoft.Unix.Library,Microsoft.Unix.WSMan.Certificate.Monitor,UnitMonitor,WS-Management Certificate Health,WS-Management Certificate Monitor,Interval,int,300,
Microsoft.Unix.Library,Microsoft.Unix.WSMan.Certificate.Monitor,UnitMonitor,WS-Management Certificate Health,WS-Management Certificate Monitor,SyncTime,string,,
Microsoft.Unix.Library,Microsoft.Unix.WSMan.CantResolveHostname.Monitor,UnitMonitor,Hostname Resolution Health,Hostname Resolution Health,Enabled,bool,TRUE,
Microsoft.Unix.Library,Microsoft.Unix.WSMan.CantResolveHostname.Monitor,UnitMonitor,Hostname Resolution Health,Hostname Resolution Health,SyncTime,string,,
Microsoft.Unix.Library,Microsoft.Unix.WSMan.CantResolveHostname.Monitor,UnitMonitor,Hostname Resolution Health,Hostname Resolution Health,Interval,int,300,
Microsoft.Unix.Library,Microsoft.Unix.WSMan.BasicAuthCheck.Monitor,UnitMonitor,Windows Remote Management Authentication Check Health,Windows Remote Management Authentication Check Monitor,Enabled,bool,TRUE,
Microsoft.Unix.Library,Microsoft.Unix.WSMan.BasicAuthCheck.Monitor,UnitMonitor,Windows Remote Management Authentication Check Health,Windows Remote Management Authentication Check Monitor,Interval,int,300,
Microsoft.Unix.Library,Microsoft.Unix.WSMan.BasicAuthCheck.Monitor,UnitMonitor,Windows Remote Management Authentication Check Health,Windows Remote Management Authentication Check Monitor,SyncTime,string,,
Microsoft.Unix.Library,Microsoft.Unix.WSMan.Access.Monitor,UnitMonitor,WS-Management Run As Account Health,WS-Management Run As Account Monitor,Enabled,bool,TRUE,
Microsoft.Unix.Library,Microsoft.Unix.WSMan.Access.Monitor,UnitMonitor,WS-Management Run As Account Health,WS-Management Run As Account Monitor,Interval,int,300,
Microsoft.Unix.Library,Microsoft.Unix.WSMan.Access.Monitor,UnitMonitor,WS-Management Run As Account Health,WS-Management Run As Account Monitor,SyncTime,string,,
Microsoft.Unix.Library,Microsoft.Unix.WSMan.Heartbeat.Monitor,UnitMonitor,UNIX/Linux Heartbeat Monitor,UNIX/Linux Heartbeat Health,Enabled,bool,TRUE,
Microsoft.Unix.Library,Microsoft.Unix.WSMan.Heartbeat.Monitor,UnitMonitor,UNIX/Linux Heartbeat Monitor,UNIX/Linux Heartbeat Health,MissedWindowSeconds,int,630,
Microsoft.Unix.Library,Microsoft.Unix.WSMan.Heartbeat.Monitor,UnitMonitor,UNIX/Linux Heartbeat Monitor,UNIX/Linux Heartbeat Health,MissedHeartbeats,int,2,
