ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,AvailabilityOnly,Summary,SummaryOpsDBOnly,DefaultOpsDBOnly,DefaultDWHFull,Notes
NiCE.Oracle.X,NiCE.Oracle.X.alert.log.Filesize.Monitor,UnitMonitor,Oracle alert.log Filesize,Monitor to check if the alert.log reached a specific filesize.,Enabled,bool,FALSE,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.Install.License.L,Rule,"Install License (Oracle MP, Linux)",Install the NiCE License on a Linux Computer.,SyncTime,string,,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.Install.License.L,Rule,"Install License (Oracle MP, Linux)",Install the NiCE License on a Linux Computer.,IntervalSeconds,int,14400,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.Install.License.L,Rule,"Install License (Oracle MP, Linux)",Install the NiCE License on a Linux Computer.,LicenseKey,string,,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.Install.License.U,Rule,"Install License (Oracle MP, UNIX)",Install the NiCE License on a UNIX Computer.,SyncTime,string,,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.Install.License.U,Rule,"Install License (Oracle MP, UNIX)",Install the NiCE License on a UNIX Computer.,IntervalSeconds,int,14400,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.Install.License.U,Rule,"Install License (Oracle MP, UNIX)",Install the NiCE License on a UNIX Computer.,LicenseKey,string,,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.oramp_alert.log,Rule,Oracle Messages from oramp_alert.log,Monitors the oramp_alert.log file from the Oracle MP.,Interval,int,,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.oramp_alert.log,Rule,Oracle Messages from oramp_alert.log,Monitors the oramp_alert.log file from the Oracle MP.,SyncTime,string,,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.oramp_alert.log,Rule,Oracle Messages from oramp_alert.log,Monitors the oramp_alert.log file from the Oracle MP.,Tracing,bool,,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.oramp_alert.log,Rule,Oracle Messages from oramp_alert.log,Monitors the oramp_alert.log file from the Oracle MP.,Severity,int,1,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.oramp_alert.log,Rule,Oracle Messages from oramp_alert.log,Monitors the oramp_alert.log file from the Oracle MP.,Priority,int,1,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.PerfRule.ActiveSessionsCnt,Rule,Number of Active Sessions,Collect the number of active sessions and stores it in the datawarehouse.,CollectToDW,bool,TRUE,,,FALSE,FALSE,,
NiCE.Oracle.X,NiCE.Oracle.X.PerfRule.ActiveSessionsCnt,Rule,Number of Active Sessions,Collect the number of active sessions and stores it in the datawarehouse.,ProviderName,string,ORAMP_AsyncProvider1,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.PerfRule.ActiveSessionsCnt,Rule,Number of Active Sessions,Collect the number of active sessions and stores it in the datawarehouse.,Tracing,bool,FALSE,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.PerfRule.ActiveSessionsCnt,Rule,Number of Active Sessions,Collect the number of active sessions and stores it in the datawarehouse.,IntervalSeconds,string,900,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.PerfRule.ActiveSessionsCnt,Rule,Number of Active Sessions,Collect the number of active sessions and stores it in the datawarehouse.,SyncTime,string,00:06,,,,,,
