ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Test,QA,Production,Performance,Notes
Microsoft.Azure.ManagedInstance.Monitoring,Microsoft.Azure.ManagedInstance.Monitor.Database.AutoCreateStatConfiguration,UnitMonitor,Auto Create Statistics Configuration,Monitors the Auto Create Statistic setting for the database. Note: This monitor is disabled by default. Please use overrides to enable it when necessary.,Enabled,bool,FALSE,,,,,
Microsoft.Azure.ManagedInstance.Monitoring,Microsoft.Azure.ManagedInstance.Monitor.Database.AutoCreateStatConfiguration,UnitMonitor,Auto Create Statistics Configuration,Monitors the Auto Create Statistic setting for the database. Note: This monitor is disabled by default. Please use overrides to enable it when necessary.,SqlTimeoutSeconds,int,15,,,,,
Microsoft.Azure.ManagedInstance.Monitoring,Microsoft.Azure.ManagedInstance.Monitor.Database.AutoCreateStatConfiguration,UnitMonitor,Auto Create Statistics Configuration,Monitors the Auto Create Statistic setting for the database. Note: This monitor is disabled by default. Please use overrides to enable it when necessary.,IntervalSeconds,int,43200,,,,,
Microsoft.Azure.ManagedInstance.Monitoring,Microsoft.Azure.ManagedInstance.Monitor.Database.AutoCreateStatConfiguration,UnitMonitor,Auto Create Statistics Configuration,Monitors the Auto Create Statistic setting for the database. Note: This monitor is disabled by default. Please use overrides to enable it when necessary.,SyncTime,string,,,,,,
Microsoft.Azure.ManagedInstance.Monitoring,Microsoft.Azure.ManagedInstance.Monitor.Database.AutoCreateStatConfiguration,UnitMonitor,Auto Create Statistics Configuration,Monitors the Auto Create Statistic setting for the database. Note: This monitor is disabled by default. Please use overrides to enable it when necessary.,ExpectedValue,string,ON,,,,,
Microsoft.Azure.ManagedInstance.Monitoring,Microsoft.Azure.ManagedInstance.Monitor.Database.AutoCreateStatConfiguration,UnitMonitor,Auto Create Statistics Configuration,Monitors the Auto Create Statistic setting for the database. Note: This monitor is disabled by default. Please use overrides to enable it when necessary.,TimeoutSeconds,int,300,,,,,
Microsoft.Azure.ManagedInstance.Monitoring,Microsoft.Azure.ManagedInstance.Monitor.Database.AutoShrinkConfiguration,UnitMonitor,Auto Shrink Configuration,Monitors the Auto Shrink setting for the database. Note: This monitor is disabled by default. Please use overrides to enable it when necessary.,Enabled,bool,FALSE,,,,,
Microsoft.Azure.ManagedInstance.Monitoring,Microsoft.Azure.ManagedInstance.Monitor.Database.AutoShrinkConfiguration,UnitMonitor,Auto Shrink Configuration,Monitors the Auto Shrink setting for the database. Note: This monitor is disabled by default. Please use overrides to enable it when necessary.,SqlTimeoutSeconds,int,15,,,,,
Microsoft.Azure.ManagedInstance.Monitoring,Microsoft.Azure.ManagedInstance.Monitor.Database.AutoShrinkConfiguration,UnitMonitor,Auto Shrink Configuration,Monitors the Auto Shrink setting for the database. Note: This monitor is disabled by default. Please use overrides to enable it when necessary.,IntervalSeconds,int,43200,,,,,
Microsoft.Azure.ManagedInstance.Monitoring,Microsoft.Azure.ManagedInstance.Monitor.Database.AutoShrinkConfiguration,UnitMonitor,Auto Shrink Configuration,Monitors the Auto Shrink setting for the database. Note: This monitor is disabled by default. Please use overrides to enable it when necessary.,SyncTime,string,,,,,,
