ManagementPackId,WorkflowId,WorkflowType,OverrideParameterName,OverrideParameterType,DefaultValue,Essentials,Balanced,Full,Notes
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.RedoBytesRemaining,Rule,Enabled,bool,TRUE,,,FALSE,
Microsoft.SQLServer.2012.AlwaysOn.Discovery,Microsoft.SQLServer.2012.AlwaysOn.Discovery.AlertsScopeGroupL3,Discovery,Enabled,bool,TRUE,,,FALSE,
Microsoft.SQLServer.2012.AlwaysOn.Discovery,Microsoft.SQLServer.2012.AlwaysOn.AlwaysOnGroupOfGroupsDiscovery,Discovery,Enabled,bool,TRUE,,,FALSE,
Microsoft.SQLServer.2012.AlwaysOn.Discovery,Microsoft.SQLServer.2012.AlwaysOn.AvailabilityReplicaGroupDiscovery,Discovery,Enabled,bool,TRUE,,,FALSE,
Microsoft.SQLServer.2012.AlwaysOn.Discovery,Microsoft.SQLServer.2012.AlwaysOn.AlwaysOnSeedDiscovery,Discovery,Enabled,bool,TRUE,,,FALSE,
Microsoft.SQLServer.2012.AlwaysOn.Discovery,Microsoft.SQLServer.2012.AlwaysOn.AlwaysOnSeedDiscovery,Discovery,Frequency,int,14400,,7000,9000,Discovery adjusted 
Microsoft.SQLServer.2012.AlwaysOn.Discovery,Microsoft.SQLServer.2012.AlwaysOn.GeneralAlwaysOnDiscovery,Discovery,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.AlwaysOn.Discovery,Microsoft.SQLServer.2012.AlwaysOn.GeneralAlwaysOnDiscovery,Discovery,IntervalSeconds,int,14400,,,,
Microsoft.SQLServer.2012.AlwaysOn.Discovery,Microsoft.SQLServer.2012.AlwaysOn.GeneralAlwaysOnDiscovery,Discovery,TimeoutSeconds,int,300,,,,
Microsoft.SQLServer.2012.AlwaysOn.Discovery,Microsoft.SQLServer.2012.AlwaysOn.AlwaysOnGroupsDiscovery,Discovery,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.AlwaysOn.Discovery,Microsoft.SQLServer.2012.AlwaysOn.DatabaseReplicaAlwaysOnDiscovery,Discovery,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.AlwaysOn.Discovery,Microsoft.SQLServer.2012.AlwaysOn.DatabaseReplicaAlwaysOnDiscovery,Discovery,TimeoutSeconds,int,300,,,,
Microsoft.SQLServer.2012.AlwaysOn.Discovery,Microsoft.SQLServer.2012.AlwaysOn.DatabaseReplicaAlwaysOnDiscovery,Discovery,IntervalSeconds,int,14400,,,,
Microsoft.SQLServer.2012.AlwaysOn.Discovery,Microsoft.SQLServer.2012.AlwaysOn.DatabaseReplicaGroupDiscovery,Discovery,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.AlwaysOn.Discovery,Microsoft.SQLServer.2012.AlwaysOn.AvailabilityGroupGroupDiscovery,Discovery,Enabled,bool,TRUE,FALSE,,,
Microsoft.SQLServer.2012.AlwaysOn.Discovery,Microsoft.SQLServer.2012.AlwaysOn.AlwaysOnDatabaseReplicasDiscovery,Discovery,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.AlwaysOn.Discovery,Microsoft.SQLServer.2012.AlwaysOn.AlwaysOnReplicasDiscovery,Discovery,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.AlwaysOn.Discovery,Microsoft.SQLServer.2012.AlwaysOn.GeneralUserPolicyDiscovery,Discovery,Enabled,bool,FALSE,,,,
Microsoft.SQLServer.2012.AlwaysOn.Discovery,Microsoft.SQLServer.2012.AlwaysOn.GeneralUserPolicyDiscovery,Discovery,IntervalSeconds,int,14400,700,,,
Microsoft.SQLServer.2012.AlwaysOn.Discovery,Microsoft.SQLServer.2012.AlwaysOn.GeneralUserPolicyDiscovery,Discovery,TimeoutSeconds,int,300,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DiscoveryWarning.Rule,Rule,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DiscoveryWarning.Rule,Rule,Severity,int,1,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DiscoveryWarning.Rule,Rule,Priority,int,1,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DiscoveryFailed.Rule,Rule,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.AlwaysOn.Discovery,Microsoft.SQLServer.2012.AlwaysOn.ScriptFailedRule,Rule,Priority,int,1,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DiscoveryFailed.Rule,Rule,Severity,int,2,,,,
Microsoft.SQLServer.2012.AlwaysOn.Discovery,Microsoft.SQLServer.2012.AlwaysOn.ScriptFailedRule,Rule,Severity,int,2,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.AvailabilityReplicasSynchronizing,UnitMonitor,PolicyName,string,Targeted Property,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.Monitor.AvailabilityDatabaseHealth.BackupStatus,UnitMonitor,Threshold,int,7,,,8,Monitor Threshold - Config
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.Monitor.AvailabilityDatabaseHealth.BackupStatus,UnitMonitor,IntervalSeconds,int,86400,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.Monitor.AvailabilityDatabaseHealth.BackupStatus,UnitMonitor,TimeoutSeconds,int,300,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.Monitor.AvailabilityDatabaseHealth.BackupStatus,UnitMonitor,SyncTime,string,,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.ClusterStateMonitor,UnitMonitor,Enabled,bool,TRUE,,,FALSE,Monitor Property
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.ClusterStateMonitor,UnitMonitor,TimeoutSeconds,int,300,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.ClusterStateMonitor,UnitMonitor,Interval,int,900,700,600,500,Increased interval
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.ClusterStateMonitor,UnitMonitor,PolicyName,string,Targeted Property,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.AvailabilityReplicaIsJoined,UnitMonitor,Enabled,bool,TRUE,,,,
