ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Custom,Notes
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.SiteSystemRolesDiscovery,Discovery,Site System Roles Discovery,This discovery discovers site roles on a ConfigMgr server.,Enabled,bool,TRUE,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.SiteSystemRolesDiscovery,Discovery,Site System Roles Discovery,This discovery discovers site roles on a ConfigMgr server.,LogLevel,int,2,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.SiteSystemRolesDiscovery,Discovery,Site System Roles Discovery,This discovery discovers site roles on a ConfigMgr server.,TimeoutSeconds,int,300,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.SiteSystemRolesDiscovery,Discovery,Site System Roles Discovery,This discovery discovers site roles on a ConfigMgr server.,IntervalSeconds,int,86400,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.SiteSystemRolesDiscovery,Discovery,Site System Roles Discovery,This discovery discovers site roles on a ConfigMgr server.,SyncTime,string,,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.SiteSystem.Discovery,Discovery,Site System Discovery,This discovery discovers the ConfigMgr site system.,Enabled,bool,TRUE,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.SiteSystem.Discovery,Discovery,Site System Discovery,This discovery discovers the ConfigMgr site system.,Frequency,int,14400,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.ContentDriveDiscovery,Discovery,Distribution Point Drive Discovery,This discovery discovers the drives used by the distribution points.,Enabled,bool,TRUE,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.ContentDriveDiscovery,Discovery,Distribution Point Drive Discovery,This discovery discovers the drives used by the distribution points.,LogLevel,int,2,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.ContentDriveDiscovery,Discovery,Distribution Point Drive Discovery,This discovery discovers the drives used by the distribution points.,IntervalSeconds,int,86400,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.ContentDriveDiscovery,Discovery,Distribution Point Drive Discovery,This discovery discovers the drives used by the distribution points.,TimeoutSeconds,int,300,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.ContentDriveDiscovery,Discovery,Distribution Point Drive Discovery,This discovery discovers the drives used by the distribution points.,SyncTime,string,,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.PrimarySite.Discovery,Discovery,Primary Site Discovery,This discovery discovers the primary site on a ConfigMgr server.,Enabled,bool,TRUE,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.PrimarySite.Discovery,Discovery,Primary Site Discovery,This discovery discovers the primary site on a ConfigMgr server.,Frequency,int,14400,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.StandaloneSite.Discovery,Discovery,Standalone Primary Site Discovery,This discovery discovers the ConfigMgr secondary site.,Enabled,bool,TRUE,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.StandaloneSite.Discovery,Discovery,Standalone Primary Site Discovery,This discovery discovers the ConfigMgr secondary site.,Frequency,int,14400,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.RemoteServerDiscovery,Discovery,Remote Server Discovery,This discovery discovers ConfigMgr remote servers.,Enabled,bool,TRUE,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.RemoteServerDiscovery,Discovery,Remote Server Discovery,This discovery discovers ConfigMgr remote servers.,Frequency,int,14400,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.Hierarchy.Discovery,Discovery,Hierarchy Discovery,This discovery discovers a ConfigMgr hierarchy and its members.,Enabled,bool,TRUE,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.Hierarchy.Discovery,Discovery,Hierarchy Discovery,This discovery discovers a ConfigMgr hierarchy and its members.,LogLevel,int,2,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.Hierarchy.Discovery,Discovery,Hierarchy Discovery,This discovery discovers a ConfigMgr hierarchy and its members.,TimeoutSeconds,int,300,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.Hierarchy.Discovery,Discovery,Hierarchy Discovery,This discovery discovers a ConfigMgr hierarchy and its members.,IntervalSeconds,int,86400,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.Hierarchy.Discovery,Discovery,Hierarchy Discovery,This discovery discovers a ConfigMgr hierarchy and its members.,SyncTime,string,,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.CentralSite.Discovery,Discovery,Central Site Discovery,This discovery discovers the central site on a ConfigMgr server.,Enabled,bool,TRUE,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.CentralSite.Discovery,Discovery,Central Site Discovery,This discovery discovers the central site on a ConfigMgr server.,Frequency,int,14400,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.SiteServer.Discovery,Discovery,Site Server Discovery,This discovery discovers the ConfigMgr site server.,Enabled,bool,TRUE,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.SiteServer.Discovery,Discovery,Site Server Discovery,This discovery discovers the ConfigMgr site server.,Frequency,int,14400,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.TftpServiceDiscovery,Discovery,TFTP Service Discovery,This discovery discovers the TFTP service on the PXE service point.,Enabled,bool,TRUE,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.TftpServiceDiscovery,Discovery,TFTP Service Discovery,This discovery discovers the TFTP service on the PXE service point.,LogLevel,int,2,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.TftpServiceDiscovery,Discovery,TFTP Service Discovery,This discovery discovers the TFTP service on the PXE service point.,TimeoutSeconds,int,300,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.TftpServiceDiscovery,Discovery,TFTP Service Discovery,This discovery discovers the TFTP service on the PXE service point.,SyncTime,string,,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.TftpServiceDiscovery,Discovery,TFTP Service Discovery,This discovery discovers the TFTP service on the PXE service point.,IntervalSeconds,int,86400,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.SiteServicesDiscovery,Discovery,Site Services Discovery,This discovery discovers configuration baselines on a ConfigMgr hierarchy.,Enabled,bool,TRUE,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.SiteServicesDiscovery,Discovery,Site Services Discovery,This discovery discovers configuration baselines on a ConfigMgr hierarchy.,LogLevel,int,2,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.SiteServicesDiscovery,Discovery,Site Services Discovery,This discovery discovers configuration baselines on a ConfigMgr hierarchy.,TimeoutSeconds,int,300,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.SiteServicesDiscovery,Discovery,Site Services Discovery,This discovery discovers configuration baselines on a ConfigMgr hierarchy.,SyncTime,string,,,
Microsoft.SystemCenter2012.ConfigurationManager.Discovery,Microsoft.SystemCenter2012.ConfigurationManager.SiteServicesDiscovery,Discovery,Site Services Discovery,This discovery discovers configuration baselines on a ConfigMgr hierarchy.,IntervalSeconds,int,86400,,
