ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Apajove,Notes
Microsoft.SystemCenter.2007,Microsoft.SystemCenter.MultiInstancePerfModule.InvalidFrequency.Alert,Rule,Alert on Dropped Multi instance Performance Module,This rule generates alerts when the Multi instance Perf Module has an invalid frequency configuration,Enabled,bool,TRUE,,
Microsoft.SystemCenter.2007,Microsoft.SystemCenter.MultiInstancePerfModule.InvalidFrequency.Alert,Rule,Alert on Dropped Multi instance Performance Module,This rule generates alerts when the Multi instance Perf Module has an invalid frequency configuration,Severity,int,1,0,
Microsoft.SystemCenter.2007,Microsoft.SystemCenter.MultiInstancePerfModule.InvalidFrequency.Alert,Rule,Alert on Dropped Multi instance Performance Module,This rule generates alerts when the Multi instance Perf Module has an invalid frequency configuration,Priority,int,1,,
Microsoft.SystemCenter.2007,Microsoft.SystemCenter.WmiEventModule.FailedExecution.Alert,Rule,Workflow Runtime: Failed to run a WMI query for WMI events,This rule generates alerts when the WMI Event module experiences a runtime failure.,Enabled,bool,TRUE,,
Microsoft.SystemCenter.2007,Microsoft.SystemCenter.WmiEventModule.FailedExecution.Alert,Rule,Workflow Runtime: Failed to run a WMI query for WMI events,This rule generates alerts when the WMI Event module experiences a runtime failure.,Severity,int,1,0,
Microsoft.SystemCenter.2007,Microsoft.SystemCenter.WmiEventModule.FailedExecution.Alert,Rule,Workflow Runtime: Failed to run a WMI query for WMI events,This rule generates alerts when the WMI Event module experiences a runtime failure.,Priority,int,1,,
Microsoft.SystemCenter.2007,Microsoft.SystemCenter.WmiEventModule.FailedExecution.Alert,Rule,Workflow Runtime: Failed to run a WMI query for WMI events,This rule generates alerts when the WMI Event module experiences a runtime failure.,IntervalSeconds,int,3600,,
Microsoft.SystemCenter.2007,Microsoft.SystemCenter.WmiEventModule.FailedExecution.Alert,Rule,Workflow Runtime: Failed to run a WMI query for WMI events,This rule generates alerts when the WMI Event module experiences a runtime failure.,Count,int,3,,
Microsoft.SystemCenter.2007,Microsoft.SystemCenter.WmiRawPerfCounterModule.FailedInitialization.Alert,Rule,Workflow Initialization: Failed to start a workflow that queries WMI for performance data,This rule generates alerts when the WMI Raw Performance Counter module fails to initialize.,Enabled,bool,TRUE,,
Microsoft.SystemCenter.2007,Microsoft.SystemCenter.WmiRawPerfCounterModule.FailedInitialization.Alert,Rule,Workflow Initialization: Failed to start a workflow that queries WMI for performance data,This rule generates alerts when the WMI Raw Performance Counter module fails to initialize.,Severity,int,1,0,
Microsoft.SystemCenter.2007,Microsoft.SystemCenter.WmiRawPerfCounterModule.FailedInitialization.Alert,Rule,Workflow Initialization: Failed to start a workflow that queries WMI for performance data,This rule generates alerts when the WMI Raw Performance Counter module fails to initialize.,Priority,int,1,,
