ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Apajove,Notes
Microsoft.SystemCenter.OperationsManager.SummaryDashboard,ManagementGroupCollectionAgentHealthStatesRule,Rule,Collect Agent Health States,Aggregate Agent Health states for the Operations Manager Summary Dashbaord,Enabled,bool,TRUE,,
Microsoft.SystemCenter.OperationsManager.SummaryDashboard,ManagementGroupCollectionAgentHealthStatesRule,Rule,Collect Agent Health States,Aggregate Agent Health states for the Operations Manager Summary Dashbaord,SyncTime,string,,23:00,
Microsoft.SystemCenter.OperationsManager.SummaryDashboard,ManagementGroupCollectionAgentHealthStatesRule,Rule,Collect Agent Health States,Aggregate Agent Health states for the Operations Manager Summary Dashbaord,TimeoutSeconds,int,300,600,
Microsoft.SystemCenter.OperationsManager.SummaryDashboard,ManagementGroupCollectionAgentHealthStatesRule,Rule,Collect Agent Health States,Aggregate Agent Health states for the Operations Manager Summary Dashbaord,IntervalSeconds,int,900,86400,
Microsoft.SystemCenter.OperationsManager.SummaryDashboard,ManagementGroupCollectionAlertsCountRule,Rule,Collect Management Group Active Alerts Count,Collect count of active alerts in Management Group,Enabled,bool,TRUE,,
Microsoft.SystemCenter.OperationsManager.SummaryDashboard,ManagementGroupCollectionAlertsCountRule,Rule,Collect Management Group Active Alerts Count,Collect count of active alerts in Management Group,SyncTime,string,,23:30,
Microsoft.SystemCenter.OperationsManager.SummaryDashboard,ManagementGroupCollectionAlertsCountRule,Rule,Collect Management Group Active Alerts Count,Collect count of active alerts in Management Group,TimeoutSeconds,int,300,600,
Microsoft.SystemCenter.OperationsManager.SummaryDashboard,ManagementGroupCollectionAlertsCountRule,Rule,Collect Management Group Active Alerts Count,Collect count of active alerts in Management Group,IntervalSeconds,int,900,86400,
Microsoft.SystemCenter.OperationsManager.SummaryDashboard,ManagementGroupDiscoveryAgentConfiguration,Discovery,Collect agent configurations,Aggregate agent configurations for SCOM Summary Dashboard,Enabled,bool,TRUE,FALSE,
Microsoft.SystemCenter.OperationsManager.SummaryDashboard,ManagementGroupDiscoveryAgentConfiguration,Discovery,Collect agent configurations,Aggregate agent configurations for SCOM Summary Dashboard,IntervalSeconds,int,3600,,
Microsoft.SystemCenter.OperationsManager.SummaryDashboard,ManagementGroupDiscoveryAgentConfiguration,Discovery,Collect agent configurations,Aggregate agent configurations for SCOM Summary Dashboard,TimeoutSeconds,int,300,,
Microsoft.SystemCenter.OperationsManager.SummaryDashboard,ManagementGroupDiscoveryAgentConfiguration,Discovery,Collect agent configurations,Aggregate agent configurations for SCOM Summary Dashboard,SyncTime,string,,,
Microsoft.SystemCenter.OperationsManager.SummaryDashboard,ManagementGroupDiscoveryAgentVersions,Discovery,Collect Agent Versions,Aggregate agent versions for SCOM Summary Dashboard,Enabled,bool,TRUE,FALSE,
Microsoft.SystemCenter.OperationsManager.SummaryDashboard,ManagementGroupDiscoveryAgentVersions,Discovery,Collect Agent Versions,Aggregate agent versions for SCOM Summary Dashboard,IntervalSeconds,int,3600,,
Microsoft.SystemCenter.OperationsManager.SummaryDashboard,ManagementGroupDiscoveryAgentVersions,Discovery,Collect Agent Versions,Aggregate agent versions for SCOM Summary Dashboard,TimeoutSeconds,int,300,,
Microsoft.SystemCenter.OperationsManager.SummaryDashboard,ManagementGroupDiscoveryAgentVersions,Discovery,Collect Agent Versions,Aggregate agent versions for SCOM Summary Dashboard,SyncTime,string,,,
