ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Notes
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.ManagementServerDatabaseError.Alert,Rule,System Center Orchestrator Management Server Database Connection Error,This rule generates an alert if a database connectivity error is logged by the Management Server.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.ManagementServerDatabaseError.Alert,Rule,System Center Orchestrator Management Server Database Connection Error,This rule generates an alert if a database connectivity error is logged by the Management Server.,Interval,int,600,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.ManagementServerDatabaseError.Alert,Rule,System Center Orchestrator Management Server Database Connection Error,This rule generates an alert if a database connectivity error is logged by the Management Server.,Severity,int,1,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.ManagementServerDatabaseError.Alert,Rule,System Center Orchestrator Management Server Database Connection Error,This rule generates an alert if a database connectivity error is logged by the Management Server.,Priority,int,1,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookServerActionServerStorageCallRefused.Alert,Rule,System Center Orchestrator Runbook Server ActionServerStorage Call Refused Error,This rule generates an alert if a call to ActionServerStorage is refused because of previous errors for a Runbook Server.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookServerActionServerStorageCallRefused.Alert,Rule,System Center Orchestrator Runbook Server ActionServerStorage Call Refused Error,This rule generates an alert if a call to ActionServerStorage is refused because of previous errors for a Runbook Server.,Interval,int,600,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookServerActionServerStorageCallRefused.Alert,Rule,System Center Orchestrator Runbook Server ActionServerStorage Call Refused Error,This rule generates an alert if a call to ActionServerStorage is refused because of previous errors for a Runbook Server.,Severity,int,1,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookServerActionServerStorageCallRefused.Alert,Rule,System Center Orchestrator Runbook Server ActionServerStorage Call Refused Error,This rule generates an alert if a call to ActionServerStorage is refused because of previous errors for a Runbook Server.,Priority,int,1,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookServerMonitorDatabaseError.Alert,Rule,System Center Orchestrator Runbook Server Monitor Database Connection Error,This rule generates an alert if a database connectivity error is logged by the Runbook Server Monitor Service.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookServerMonitorDatabaseError.Alert,Rule,System Center Orchestrator Runbook Server Monitor Database Connection Error,This rule generates an alert if a database connectivity error is logged by the Runbook Server Monitor Service.,Interval,int,600,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookServerMonitorDatabaseError.Alert,Rule,System Center Orchestrator Runbook Server Monitor Database Connection Error,This rule generates an alert if a database connectivity error is logged by the Runbook Server Monitor Service.,Severity,int,1,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookServerMonitorDatabaseError.Alert,Rule,System Center Orchestrator Runbook Server Monitor Database Connection Error,This rule generates an alert if a database connectivity error is logged by the Runbook Server Monitor Service.,Priority,int,1,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookUpdateFailed.Alert,Rule,System Center Orchestrator Runbook Update Error,This rule generates an alert if a Runbook update operation failed.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookUpdateFailed.Alert,Rule,System Center Orchestrator Runbook Update Error,This rule generates an alert if a Runbook update operation failed.,Interval,int,600,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookUpdateFailed.Alert,Rule,System Center Orchestrator Runbook Update Error,This rule generates an alert if a Runbook update operation failed.,Severity,int,2,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookUpdateFailed.Alert,Rule,System Center Orchestrator Runbook Update Error,This rule generates an alert if a Runbook update operation failed.,Priority,int,1,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookServerDatabaseError.Alert,Rule,System Center Orchestrator Runbook Server Database Connection Error,This rule generates an alert if a database connectivity error is logged by the Runbook Server.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookServerDatabaseError.Alert,Rule,System Center Orchestrator Runbook Server Database Connection Error,This rule generates an alert if a database connectivity error is logged by the Runbook Server.,Interval,int,600,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookServerDatabaseError.Alert,Rule,System Center Orchestrator Runbook Server Database Connection Error,This rule generates an alert if a database connectivity error is logged by the Runbook Server.,Severity,int,1,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookServerDatabaseError.Alert,Rule,System Center Orchestrator Runbook Server Database Connection Error,This rule generates an alert if a database connectivity error is logged by the Runbook Server.,Priority,int,1,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookIssue.Alert,Rule,System Center Orchestrator Runbook Problem Alert,This rule generates an alert if the Runbook Service detects a problem with a Runbook.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookIssue.Alert,Rule,System Center Orchestrator Runbook Problem Alert,This rule generates an alert if the Runbook Service detects a problem with a Runbook.,Severity,int,1,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookIssue.Alert,Rule,System Center Orchestrator Runbook Problem Alert,This rule generates an alert if the Runbook Service detects a problem with a Runbook.,Priority,int,1,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.PolicyModule.ThreadCount.Collection,Rule,System Center Orchestrator Runbook Policy Module Thread Count Collection,This rule collects historical performance data for the Thread Count metric for the Runbook Policy Module process on a Runbook Server.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.PolicyModule.ThreadCount.Collection,Rule,System Center Orchestrator Runbook Policy Module Thread Count Collection,This rule collects historical performance data for the Thread Count metric for the Runbook Policy Module process on a Runbook Server.,Tolerance,double,0,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.PolicyModule.ThreadCount.Collection,Rule,System Center Orchestrator Runbook Policy Module Thread Count Collection,This rule collects historical performance data for the Thread Count metric for the Runbook Policy Module process on a Runbook Server.,MaximumSampleSeparation,int,1,
