ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Notes
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.DwManagementServer.Discovery,Discovery,Data Warehouse Management Server Discovery,Discovers Microsoft System Center Data Warehouse Management Server.,Enabled,bool,TRUE,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.DwManagementServer.Discovery,Discovery,Data Warehouse Management Server Discovery,Discovers Microsoft System Center Data Warehouse Management Server.,TimeoutSeconds,int,300,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.DwManagementServer.Discovery,Discovery,Data Warehouse Management Server Discovery,Discovers Microsoft System Center Data Warehouse Management Server.,Arguments,string,"$MPElement$ $Target/Id$ $Target/Property[Type=""Windows!Microsoft.Windows.Computer""]/PrincipalName$ $Target/Property[Type=""Windows!Microsoft.Windows.Computer""]/NetworkName$",
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.DwManagementServer.Discovery,Discovery,Data Warehouse Management Server Discovery,Discovers Microsoft System Center Data Warehouse Management Server.,SyncTime,string,,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.DwManagementServer.Discovery,Discovery,Data Warehouse Management Server Discovery,Discovers Microsoft System Center Data Warehouse Management Server.,IntervalSeconds,int,86400,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.Dw2012Database.Discovery,Discovery,Discover Data Warehouse Databases,Discovers Data Warehouse databases and where they are hosted.,Enabled,bool,TRUE,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.Dw2012Database.Discovery,Discovery,Discover Data Warehouse Databases,Discovers Data Warehouse databases and where they are hosted.,TimeoutSeconds,int,300,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.Dw2012Database.Discovery,Discovery,Discover Data Warehouse Databases,Discovers Data Warehouse databases and where they are hosted.,Arguments,string,"$MPElement$ $Target/Id$ $Target/Host/Property[Type=""Windows!Microsoft.Windows.Computer""]/PrincipalName$ $Target/Property[Type=""SM!Microsoft.SystemCenter.ServiceManager.DwManagementServer""]/StagingDbHostName$ $Target/Property[Type=""SM!Microsoft.SystemCenter.ServiceManager.DwManagementServer""]/StagingDbName$",
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.Dw2012Database.Discovery,Discovery,Discover Data Warehouse Databases,Discovers Data Warehouse databases and where they are hosted.,SyncTime,string,,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.Dw2012Database.Discovery,Discovery,Discover Data Warehouse Databases,Discovers Data Warehouse databases and where they are hosted.,IntervalSeconds,int,86400,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.SmManagementServerProperties.Discovery,Discovery,Service Manager Management Server Properties Discovery,Discovers properties of Microsoft System Center Service Manager.,Enabled,bool,TRUE,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.SmManagementServerProperties.Discovery,Discovery,Service Manager Management Server Properties Discovery,Discovers properties of Microsoft System Center Service Manager.,TimeoutSeconds,int,300,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.SmManagementServerProperties.Discovery,Discovery,Service Manager Management Server Properties Discovery,Discovers properties of Microsoft System Center Service Manager.,Arguments,string,"$MPElement$ $Target/Id$ $Target/Host/Property[Type=""Windows!Microsoft.Windows.Computer""]/PrincipalName$ $Target/Property[Type=""SM!Microsoft.SystemCenter.ServiceManager.ManagementServer""]/Version$",
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.SmManagementServerProperties.Discovery,Discovery,Service Manager Management Server Properties Discovery,Discovers properties of Microsoft System Center Service Manager.,SyncTime,string,01:00,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.SmManagementServerProperties.Discovery,Discovery,Service Manager Management Server Properties Discovery,Discovers properties of Microsoft System Center Service Manager.,IntervalSeconds,int,86400,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.DwManagementGroup.Discovery,Discovery,Service Manager Data Warehouse Roll-up Discovery,Discovers properties of Data Warehouse Management Group,Enabled,bool,TRUE,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.DwManagementGroup.Discovery,Discovery,Service Manager Data Warehouse Roll-up Discovery,Discovers properties of Data Warehouse Management Group,TimeoutSeconds,int,300,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.DwManagementGroup.Discovery,Discovery,Service Manager Data Warehouse Roll-up Discovery,Discovers properties of Data Warehouse Management Group,Arguments,string,"$MPElement$ $Target/Id$ $Target/Host/Property[Type=""Windows!Microsoft.Windows.Computer""]/PrincipalName$ $Target/Property[Type=""SM!Microsoft.SystemCenter.ServiceManager.ManagementServer""]/Version$",
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.DwManagementGroup.Discovery,Discovery,Service Manager Data Warehouse Roll-up Discovery,Discovers properties of Data Warehouse Management Group,SyncTime,string,02:00,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.DwManagementGroup.Discovery,Discovery,Service Manager Data Warehouse Roll-up Discovery,Discovers properties of Data Warehouse Management Group,IntervalSeconds,int,86400,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.DwManagementServerProperties.Discovery,Discovery,Microsoft System Center Data Warehouse Management Server Properties Discovery,Discovers properties of Microsoft System Center Data Warehouse Management Server,Enabled,bool,TRUE,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.DwManagementServerProperties.Discovery,Discovery,Microsoft System Center Data Warehouse Management Server Properties Discovery,Discovers properties of Microsoft System Center Data Warehouse Management Server,TimeoutSeconds,int,300,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.DwManagementServerProperties.Discovery,Discovery,Microsoft System Center Data Warehouse Management Server Properties Discovery,Discovers properties of Microsoft System Center Data Warehouse Management Server,Arguments,string,"$MPElement$ $Target/Id$ $Target/Host/Property[Type=""Windows!Microsoft.Windows.Computer""]/PrincipalName$ $Target/Property[Type=""SM!Microsoft.SystemCenter.ServiceManager.ManagementServer""]/Version$",
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.DwManagementServerProperties.Discovery,Discovery,Microsoft System Center Data Warehouse Management Server Properties Discovery,Discovers properties of Microsoft System Center Data Warehouse Management Server,SyncTime,string,01:00,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.DwManagementServerProperties.Discovery,Discovery,Microsoft System Center Data Warehouse Management Server Properties Discovery,Discovers properties of Microsoft System Center Data Warehouse Management Server,IntervalSeconds,int,86400,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.SmManagementGroup.Discovery,Discovery,Service Manager Roll-up Discovery,Discovers properties of Service Manager Management Group,Enabled,bool,TRUE,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.SmManagementGroup.Discovery,Discovery,Service Manager Roll-up Discovery,Discovers properties of Service Manager Management Group,TimeoutSeconds,int,300,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.SmManagementGroup.Discovery,Discovery,Service Manager Roll-up Discovery,Discovers properties of Service Manager Management Group,Arguments,string,"$MPElement$ $Target/Id$ $Target/Host/Property[Type=""Windows!Microsoft.Windows.Computer""]/PrincipalName$ $Target/Property[Type=""SM!Microsoft.SystemCenter.ServiceManager.ManagementServer""]/Version$",
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.SmManagementGroup.Discovery,Discovery,Service Manager Roll-up Discovery,Discovers properties of Service Manager Management Group,SyncTime,string,02:00,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.SmManagementGroup.Discovery,Discovery,Service Manager Roll-up Discovery,Discovers properties of Service Manager Management Group,IntervalSeconds,int,86400,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.SmManagementServer.Discovery,Discovery,Service Manager Management Server Discovery,Discovers Microsoft System Center Service Manager Servers.,Enabled,bool,TRUE,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.SmManagementServer.Discovery,Discovery,Service Manager Management Server Discovery,Discovers Microsoft System Center Service Manager Servers.,TimeoutSeconds,int,300,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.SmManagementServer.Discovery,Discovery,Service Manager Management Server Discovery,Discovers Microsoft System Center Service Manager Servers.,Arguments,string,"$MPElement$ $Target/Id$ $Target/Property[Type=""Windows!Microsoft.Windows.Computer""]/PrincipalName$ $Target/Property[Type=""Windows!Microsoft.Windows.Computer""]/NetworkName$",
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.SmManagementServer.Discovery,Discovery,Service Manager Management Server Discovery,Discovers Microsoft System Center Service Manager Servers.,SyncTime,string,,
Microsoft.SystemCenter.ServiceManager.Discovery,Microsoft.SystemCenter.ServiceManager.SmManagementServer.Discovery,Discovery,Service Manager Management Server Discovery,Discovers Microsoft System Center Service Manager Servers.,IntervalSeconds,int,86400,
Microsoft.SystemCenter.ServiceManager.Monitoring,Microsoft.SystemCenter.ServiceManager.Rule.DwScheduledJobCouldNotStart,Rule,Scheduled job could not be started rule.,Raises an alert when a Scheduled job could not start.,Enabled,bool,TRUE,
Microsoft.SystemCenter.ServiceManager.Monitoring,Microsoft.SystemCenter.ServiceManager.Rule.DwScheduledJobCouldNotStart,Rule,Scheduled job could not be started rule.,Raises an alert when a Scheduled job could not start.,Severity,int,2,
Microsoft.SystemCenter.ServiceManager.Monitoring,Microsoft.SystemCenter.ServiceManager.Rule.DwScheduledJobCouldNotStart,Rule,Scheduled job could not be started rule.,Raises an alert when a Scheduled job could not start.,Priority,int,1,
Microsoft.SystemCenter.ServiceManager.Monitoring,Microsoft.SystemCenter.ServiceManager.Rule.DwFailedToSyncSource,Rule,MP Sync : Failed to sync source rule,Raises an alert when a failure occurs during a MPSync job.,Enabled,bool,TRUE,
Microsoft.SystemCenter.ServiceManager.Monitoring,Microsoft.SystemCenter.ServiceManager.Rule.DwFailedToSyncSource,Rule,MP Sync : Failed to sync source rule,Raises an alert when a failure occurs during a MPSync job.,Severity,int,2,
Microsoft.SystemCenter.ServiceManager.Monitoring,Microsoft.SystemCenter.ServiceManager.Rule.DwFailedToSyncSource,Rule,MP Sync : Failed to sync source rule,Raises an alert when a failure occurs during a MPSync job.,Priority,int,1,
Microsoft.SystemCenter.ServiceManager.Monitoring,Microsoft.SystemCenter.ServiceManager.WWF.Monitoring.RuleRunning,Rule,WF Workflow Time Out Rule,Monitors time outs in WF workflows.,Enabled,bool,TRUE,
Microsoft.SystemCenter.ServiceManager.Monitoring,Microsoft.SystemCenter.ServiceManager.WWF.Monitoring.RuleRunning,Rule,WF Workflow Time Out Rule,Monitors time outs in WF workflows.,IntervalSeconds,int,1800,
Microsoft.SystemCenter.ServiceManager.Monitoring,Microsoft.SystemCenter.ServiceManager.WWF.Monitoring.RuleRunning,Rule,WF Workflow Time Out Rule,Monitors time outs in WF workflows.,SyncTime,string,,
Microsoft.SystemCenter.ServiceManager.Monitoring,Microsoft.SystemCenter.ServiceManager.WWF.Monitoring.RuleRunning,Rule,WF Workflow Time Out Rule,Monitors time outs in WF workflows.,Severity,int,1,
Microsoft.SystemCenter.ServiceManager.Monitoring,Microsoft.SystemCenter.ServiceManager.WWF.Monitoring.RuleRunning,Rule,WF Workflow Time Out Rule,Monitors time outs in WF workflows.,Priority,int,1,
Microsoft.SystemCenter.ServiceManager.Monitoring,Microsoft.SystemCenter.ServiceManager.Rule.DwCannotConnectToReportServices,Rule,Cannot connect to Reporting Services rule.,Raises an alert when the Data Warehouse cannot connect to SQL Reporting Services.,Enabled,bool,TRUE,
Microsoft.SystemCenter.ServiceManager.Monitoring,Microsoft.SystemCenter.ServiceManager.Rule.DwCannotConnectToReportServices,Rule,Cannot connect to Reporting Services rule.,Raises an alert when the Data Warehouse cannot connect to SQL Reporting Services.,Severity,int,2,
Microsoft.SystemCenter.ServiceManager.Monitoring,Microsoft.SystemCenter.ServiceManager.Rule.DwCannotConnectToReportServices,Rule,Cannot connect to Reporting Services rule.,Raises an alert when the Data Warehouse cannot connect to SQL Reporting Services.,Priority,int,1,
Microsoft.SystemCenter.ServiceManager.Monitoring,Microsoft.SystemCenter.ServiceManager.Rule.DwMPSyncDataAccessServiceError,Rule,MP Sync failed to connect to Data Access Service rule.,Raises an alert when MP Sync failed to connect to the Data Access service.,Enabled,bool,TRUE,
Microsoft.SystemCenter.ServiceManager.Monitoring,Microsoft.SystemCenter.ServiceManager.Rule.DwMPSyncDataAccessServiceError,Rule,MP Sync failed to connect to Data Access Service rule.,Raises an alert when MP Sync failed to connect to the Data Access service.,Severity,int,2,
Microsoft.SystemCenter.ServiceManager.Monitoring,Microsoft.SystemCenter.ServiceManager.Rule.DwMPSyncDataAccessServiceError,Rule,MP Sync failed to connect to Data Access Service rule.,Raises an alert when MP Sync failed to connect to the Data Access service.,Priority,int,1,
Microsoft.SystemCenter.ServiceManager.Monitoring,Microsoft.SystemCenter.ServiceManager.Rule.DwSQLServerLoginFailure,Rule,Operation failed due to SQL Server login failure rule.,Raises an alert when an operation fails due to SQL server login failure.,Enabled,bool,TRUE,
Microsoft.SystemCenter.ServiceManager.Monitoring,Microsoft.SystemCenter.ServiceManager.Rule.DwSQLServerLoginFailure,Rule,Operation failed due to SQL Server login failure rule.,Raises an alert when an operation fails due to SQL server login failure.,Severity,int,2,
Microsoft.SystemCenter.ServiceManager.Monitoring,Microsoft.SystemCenter.ServiceManager.Rule.DwSQLServerLoginFailure,Rule,Operation failed due to SQL Server login failure rule.,Raises an alert when an operation fails due to SQL server login failure.,Priority,int,1,
Microsoft.SystemCenter.ServiceManager.Monitoring,Microsoft.SystemCenter.ServiceManager.Rule.DwMPAssociationFailed,Rule,Management Pack association failed rule.,Raises an alet when management pack association fails.,Enabled,bool,TRUE,
Microsoft.SystemCenter.ServiceManager.Monitoring,Microsoft.SystemCenter.ServiceManager.Rule.DwMPAssociationFailed,Rule,Management Pack association failed rule.,Raises an alet when management pack association fails.,Severity,int,2,
Microsoft.SystemCenter.ServiceManager.Monitoring,Microsoft.SystemCenter.ServiceManager.Rule.DwMPAssociationFailed,Rule,Management Pack association failed rule.,Raises an alet when management pack association fails.,Priority,int,1,
Microsoft.SystemCenter.ServiceManager.Monitoring,Microsoft.SystemCenter.ServiceManager.Rule.DwExceptionThrownDuringCommitOfAMO,Rule,Exception thrown during commit of AMO transaction rule,Raises an alert when an exception is thrown during commit of AMO transaction to the Analysis services database.,Enabled,bool,TRUE,
