ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Notes
Microsoft.SystemCenter.VirtualMachineManager.2016.Discovery,Microsoft.SystemCenter.VirtualMachineManager.2016.UplinkPort.DiscoveryRule,Discovery,Uplink Port and Network Connection Discovery,Uplink Port discovery for Virtual Switches and their connection with computer network adapters.,Enabled,bool,TRUE,
Microsoft.SystemCenter.VirtualMachineManager.2016.Discovery,Microsoft.SystemCenter.VirtualMachineManager.2016.UplinkPort.DiscoveryRule,Discovery,Uplink Port and Network Connection Discovery,Uplink Port discovery for Virtual Switches and their connection with computer network adapters.,IntervalSeconds,int,1800,
Microsoft.SystemCenter.VirtualMachineManager.2016.Discovery,Microsoft.SystemCenter.VirtualMachineManager.2016.UplinkPort.DiscoveryRule,Discovery,Uplink Port and Network Connection Discovery,Uplink Port discovery for Virtual Switches and their connection with computer network adapters.,TimeoutSeconds,int,120,
Microsoft.SystemCenter.VirtualMachineManager.2016.Discovery,Microsoft.SystemCenter.VirtualMachineManager.2016.UplinkPort.DiscoveryRule,Discovery,Uplink Port and Network Connection Discovery,Uplink Port discovery for Virtual Switches and their connection with computer network adapters.,SyncTime,string,,
Microsoft.SystemCenter.VirtualMachineManager.2016.Discovery,Microsoft.SystemCenter.VirtualMachineManager.2016.VirtualizationCandidateComputer.DiscoveryRule,Discovery,Virtualization Candidate Computer Discovery,Virtualization candidate computer discovery,Enabled,bool,TRUE,
Microsoft.SystemCenter.VirtualMachineManager.2016.Discovery,Microsoft.SystemCenter.VirtualMachineManager.2016.VirtualizationCandidateComputer.DiscoveryRule,Discovery,Virtualization Candidate Computer Discovery,Virtualization candidate computer discovery,IntervalSeconds,int,14400,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.CriticalFailureRule,Rule,System Center 2016 Virtual Machine Manager Critical Failure Rule,,Enabled,bool,TRUE,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.CriticalFailureRule,Rule,System Center 2016 Virtual Machine Manager Critical Failure Rule,,Severity,int,2,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.CriticalFailureRule,Rule,System Center 2016 Virtual Machine Manager Critical Failure Rule,,Priority,int,2,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.LoadBalancerStateMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Load BalancerState,Monitors the state of the Load Balancer,Enabled,bool,TRUE,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.LoadBalancerStateMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Load BalancerState,Monitors the state of the Load Balancer,TimeoutSeconds,int,180,
