ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Custom,Notes
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.VirtualMachine.Group.DiscoveryRule,Discovery,Veeam Hyper-V Virtual Machine Group Discovery,Discovers Hyper-V Virtual Machine Group,Enabled,bool,TRUE,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.VMPropertiesDiscovery,Discovery,Veeam Hyper-V Virtual Machine properties discovery,Discovers VM properties,Enabled,bool,onEssentialMonitoring,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.VMPropertiesDiscovery,Discovery,Veeam Hyper-V Virtual Machine properties discovery,Discovers VM properties,IntervalSeconds,int,14400,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.VMPropertiesDiscovery,Discovery,Veeam Hyper-V Virtual Machine properties discovery,Discovers VM properties,TimeoutSeconds,int,1200,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.VMPropertiesDiscovery,Discovery,Veeam Hyper-V Virtual Machine properties discovery,Discovers VM properties,Verbose,bool,FALSE,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.VMPropertiesDiscovery,Discovery,Veeam Hyper-V Virtual Machine properties discovery,Discovers VM properties,SyncTime,string,,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.VMsinSCVMMDiscovery,Discovery,Veeam Hyper-V SCVMM Virtual Machine discovery,Discovers VMs on SCVMM,Enabled,bool,onEssentialMonitoring,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.VMsinSCVMMDiscovery,Discovery,Veeam Hyper-V SCVMM Virtual Machine discovery,Discovers VMs on SCVMM,SyncTime,string,,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.VMsinSCVMMDiscovery,Discovery,Veeam Hyper-V SCVMM Virtual Machine discovery,Discovers VMs on SCVMM,TimeoutSeconds,int,300,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.VMsinSCVMMDiscovery,Discovery,Veeam Hyper-V SCVMM Virtual Machine discovery,Discovers VMs on SCVMM,Verbose,bool,FALSE,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.VMsinSCVMMDiscovery,Discovery,Veeam Hyper-V SCVMM Virtual Machine discovery,Discovers VMs on SCVMM,IntervalSeconds,int,14400,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.ComputeTopologyRoot.Group.DiscoveryRule,Discovery,Veeam Hyper-V Compute Topology Root Group Discovery,Discovers Hyper-V Compute Topology Root Group,Enabled,bool,TRUE,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.EmptyVirtualMachineDiscovery,Discovery,Veeam Stage 1 - Hyper-V Initial Virtual Machine discovery,Discovers Base VM objects on Server running Hyper-V,Enabled,bool,onEssentialMonitoring,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.EmptyVirtualMachineDiscovery,Discovery,Veeam Stage 1 - Hyper-V Initial Virtual Machine discovery,Discovers Base VM objects on Server running Hyper-V,IntervalSeconds,int,900,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.EmptyVirtualMachineDiscovery,Discovery,Veeam Stage 1 - Hyper-V Initial Virtual Machine discovery,Discovers Base VM objects on Server running Hyper-V,Verbose,bool,FALSE,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.EmptyVirtualMachineDiscovery,Discovery,Veeam Stage 1 - Hyper-V Initial Virtual Machine discovery,Discovers Base VM objects on Server running Hyper-V,TimeoutSeconds,int,600,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.EmptyVirtualMachineDiscovery,Discovery,Veeam Stage 1 - Hyper-V Initial Virtual Machine discovery,Discovers Base VM objects on Server running Hyper-V,SyncTime,string,,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.2012.ServerRoleDiscovery,Discovery,Veeam Hyper-V Server Role discovery,Discovers Microsoft Windows Server running Hyper-V,Enabled,bool,onEssentialMonitoring,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.2012.ServerRoleDiscovery,Discovery,Veeam Hyper-V Server Role discovery,Discovers Microsoft Windows Server running Hyper-V,SyncTime,string,,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.2012.ServerRoleDiscovery,Discovery,Veeam Hyper-V Server Role discovery,Discovers Microsoft Windows Server running Hyper-V,IntervalSeconds,int,14400,,
