ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Notes
Veeam.Virt.Extensions.VMware.BaseDiscovery,Veeam.Virt.Extensions.VMware.HealthService.SendQueueExceeded,Rule,Veeam VMware Collector: Health Service send queue exceeded,,Enabled,bool,onEssentialMonitoring,
Veeam.Virt.Extensions.VMware.BaseDiscovery,Veeam.Virt.Extensions.VMware.HealthService.SendQueueExceeded,Rule,Veeam VMware Collector: Health Service send queue exceeded,,Severity,int,1,
Veeam.Virt.Extensions.VMware.BaseDiscovery,Veeam.Virt.Extensions.VMware.HealthService.SendQueueExceeded,Rule,Veeam VMware Collector: Health Service send queue exceeded,,Priority,int,1,
Veeam.Virt.Extensions.VMware.BaseDiscovery,Veeam.Virt.Extensions.VMware.InGuest.PagesPersec,Rule,Ops Mgr Agent in vSphere VM Performance Collection Rule - memory pages/sec (_Total),,Enabled,bool,onEssentialMonitoring,
Veeam.Virt.Extensions.VMware.BaseDiscovery,Veeam.Virt.Extensions.VMware.InGuest.PagesPersec,Rule,Ops Mgr Agent in vSphere VM Performance Collection Rule - memory pages/sec (_Total),,Frequency,int,300,
Veeam.Virt.Extensions.VMware.BaseDiscovery,Veeam.Virt.Extensions.VMware.HealthService.CannotLoadConfiguration,Rule,Veeam VMware Collector: Health Service cannot load configuration,,Enabled,bool,onEssentialMonitoring,
Veeam.Virt.Extensions.VMware.BaseDiscovery,Veeam.Virt.Extensions.VMware.HealthService.CannotLoadConfiguration,Rule,Veeam VMware Collector: Health Service cannot load configuration,,Severity,int,1,
Veeam.Virt.Extensions.VMware.BaseDiscovery,Veeam.Virt.Extensions.VMware.HealthService.CannotLoadConfiguration,Rule,Veeam VMware Collector: Health Service cannot load configuration,,Priority,int,1,
Veeam.Virt.Extensions.VMware.BaseDiscovery,Veeam.Virt.Extensions.VMware.EMServer.EventLog.Generic.Error,Rule,Veeam VMware Collector: Error from Veeam Extensions Service,,Enabled,bool,onEssentialMonitoring,
Veeam.Virt.Extensions.VMware.BaseDiscovery,Veeam.Virt.Extensions.VMware.EMServer.EventLog.Generic.Error,Rule,Veeam VMware Collector: Error from Veeam Extensions Service,,Severity,int,2,
Veeam.Virt.Extensions.VMware.BaseDiscovery,Veeam.Virt.Extensions.VMware.EMServer.EventLog.Generic.Error,Rule,Veeam VMware Collector: Error from Veeam Extensions Service,,Priority,int,2,
Veeam.Virt.Extensions.VMware.BaseDiscovery,Veeam.Virt.Extensions.VMware.HealthService.AgentRestartError,Rule,Veeam VMware Collector: Health Service agent restart error,,Enabled,bool,onEssentialMonitoring,
Veeam.Virt.Extensions.VMware.BaseDiscovery,Veeam.Virt.Extensions.VMware.HealthService.AgentRestartError,Rule,Veeam VMware Collector: Health Service agent restart error,,Severity,int,1,
Veeam.Virt.Extensions.VMware.BaseDiscovery,Veeam.Virt.Extensions.VMware.HealthService.AgentRestartError,Rule,Veeam VMware Collector: Health Service agent restart error,,Priority,int,1,
Veeam.Virt.Extensions.VMware.BaseDiscovery,Veeam.Virt.Extensions.VMware.Collector.Agent.MonitoringHostCPU,Rule,Veeam VMware Collector: Ops Mgr MonitoringHost process CPU Usage,,Enabled,bool,onEssentialMonitoring,
