ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Custom,Notes
Microsoft.Windows.Client.Win10,Microsoft.Windows.Client.Win10.NetworkAdapter.Discovery,Discovery,Discover Network Adapters (Only Enabled),This rule uses WMI to discover all network adapters reported by Windows.,Enabled,bool,true,,
Microsoft.Windows.Client.Win10,Microsoft.Windows.Client.Win10.NetworkAdapter.Discovery,Discovery,Discover Network Adapters (Only Enabled),This rule uses WMI to discover all network adapters reported by Windows.,DiscoverDisabledNetworkAdapters,bool,false,,
Microsoft.Windows.Client.Win10,Microsoft.Windows.Client.Win10.NetworkAdapter.Discovery,Discovery,Discover Network Adapters (Only Enabled),This rule uses WMI to discover all network adapters reported by Windows.,TimeoutSeconds,int,360,,
Microsoft.Windows.Client.Win10,Microsoft.Windows.Client.Win10.NetworkAdapter.Discovery,Discovery,Discover Network Adapters (Only Enabled),This rule uses WMI to discover all network adapters reported by Windows.,IntervalSeconds,int,86820,,
Microsoft.Windows.Client.Win10,Microsoft.Windows.Client.Win10.DiskPartitionContainsLogicalDisk.Discovery,Discovery,Disk Partition to Logical Disk Discovery Rule,This rule discovers the relationships between disk partitions and logical disks,Enabled,bool,true,,
Microsoft.Windows.Client.Win10,Microsoft.Windows.Client.Win10.DiskPartitionContainsLogicalDisk.Discovery,Discovery,Disk Partition to Logical Disk Discovery Rule,This rule discovers the relationships between disk partitions and logical disks,Frequency,int,86580,,
Microsoft.Windows.Client.Win10,Microsoft.Windows.Client.Win10.AllClientsComputerGroupDiscovery,Discovery,Populate All Windows 10 Computer Group,This rule populates Windows 10 Computer Group.,Enabled,bool,true,,
Microsoft.Windows.Client.Win10,Microsoft.Windows.Client.Win10.CPU.Discovery,Discovery,Discover Windows CPUs,This rule uses WMI to discover all processors reported by Windows.,Enabled,bool,true,,
Microsoft.Windows.Client.Win10,Microsoft.Windows.Client.Win10.CPU.Discovery,Discovery,Discover Windows CPUs,This rule uses WMI to discover all processors reported by Windows.,TimeoutSeconds,int,360,,
Microsoft.Windows.Client.Win10,Microsoft.Windows.Client.Win10.CPU.Discovery,Discovery,Discover Windows CPUs,This rule uses WMI to discover all processors reported by Windows.,IntervalSeconds,int,86640,,
Microsoft.Windows.Client.Win10,Microsoft.Windows.Client.Win10.PhysicalDisk.Discovery,Discovery,Discover Windows Physical Disks,This rule uses WMI to discover all Windows physical disks.,Enabled,bool,true,,
Microsoft.Windows.Client.Win10,Microsoft.Windows.Client.Win10.PhysicalDisk.Discovery,Discovery,Discover Windows Physical Disks,This rule uses WMI to discover all Windows physical disks.,IntervalSeconds,int,86880,,
