ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Notes
Microsoft.Windows.Client.Library,Microsoft.Windows.Client.InstanceGroup.Discovery,Discovery,Populate Windows Client Instances Group,This discovery rule populates the Windows Client Instances Group.,Enabled,bool,FALSE,
Microsoft.Windows.Client.Library,Microsoft.Windows.Client.AllClientsComputerGroupDiscovery,Discovery,Populate All Windows Clients Computer Group,This discovery rule populates the Windows Clients Computer Group,Enabled,bool,TRUE,
Microsoft.Windows.Client.NetworkDiscovery,NetworkAdapter.DiscoveryRule,Discovery,Windows Client Network Adapter Discovery Rule,This discovery rule sets the properties of the discovered network adapters.,Enabled,bool,TRUE,
Microsoft.Windows.Client.Win7,Microsoft.Windows.Client.Win7.PhysicalDiskContainsDiskPartition.Discovery,Discovery,Physical Disk to Disk Partition Discovery Rule,This rule discovers the relationships between physical disks and disk partitions,Enabled,bool,TRUE,
Microsoft.Windows.Client.Win7,Microsoft.Windows.Client.Win7.PhysicalDiskContainsDiskPartition.Discovery,Discovery,Physical Disk to Disk Partition Discovery Rule,This rule discovers the relationships between physical disks and disk partitions,Frequency,int,14400,
Microsoft.Windows.Client.Win7,Microsoft.Windows.Client.Win7.AllClientsComputerGroupDiscovery,Discovery,Populate All Windows 7 Computer Group,This rule populates the Windows 7 Computer Group.,Enabled,bool,TRUE,
Microsoft.Windows.Client.Win7,Microsoft.Windows.Client.Win7.Computer.Discovery,Discovery,Discover Windows 7s,This rule discovers Windows 7s,Enabled,bool,TRUE,
Microsoft.Windows.Client.Win7,Microsoft.Windows.Client.Win7.Computer.Discovery,Discovery,Discover Windows 7s,This rule discovers Windows 7s,Frequency,int,14400,
Microsoft.Windows.Client.Win7,Microsoft.Windows.Client.Win7.NetworkAdapter.Discovery,Discovery,Discover Network Adapters (Only Enabled),This rule uses WMI to discover all network adapters reported by Windows.,Enabled,bool,TRUE,
Microsoft.Windows.Client.Win7,Microsoft.Windows.Client.Win7.NetworkAdapter.Discovery,Discovery,Discover Network Adapters (Only Enabled),This rule uses WMI to discover all network adapters reported by Windows.,DiscoverDisabledNetworkAdapters,bool,FALSE,
Microsoft.Windows.Client.Win7,Microsoft.Windows.Client.Win7.NetworkAdapter.Discovery,Discovery,Discover Network Adapters (Only Enabled),This rule uses WMI to discover all network adapters reported by Windows.,IntervalSeconds,int,14400,
Microsoft.Windows.Client.Win7,Microsoft.Windows.Client.Win7.NetworkAdapter.Discovery,Discovery,Discover Network Adapters (Only Enabled),This rule uses WMI to discover all network adapters reported by Windows.,TimeoutSeconds,int,360,
Microsoft.Windows.Client.Win7,Microsoft.Windows.Client.Win7.LogicalDisk.Discovery,Discovery,Discover Windows Logical Disks,This rule uses WMI to discover all Windows logical disks excluding removable drives and network drives.  This rule does not discover drives mounted with no drive letter.  There is a separate discovery rule for such drives.,Enabled,bool,TRUE,
Microsoft.Windows.Client.Win7,Microsoft.Windows.Client.Win7.LogicalDisk.Discovery,Discovery,Discover Windows Logical Disks,This rule uses WMI to discover all Windows logical disks excluding removable drives and network drives.  This rule does not discover drives mounted with no drive letter.  There is a separate discovery rule for such drives.,Frequency,int,14400,
Microsoft.Windows.Client.Win7,Microsoft.Windows.Client.Win7.DiskPartition.Discovery,Discovery,Discover Windows Disk Partitions,This rule uses WMI to discover all Windows disk partitions.,Enabled,bool,TRUE,
Microsoft.Windows.Client.Win7,Microsoft.Windows.Client.Win7.DiskPartition.Discovery,Discovery,Discover Windows Disk Partitions,This rule uses WMI to discover all Windows disk partitions.,Frequency,int,14400,
Microsoft.Windows.Client.Win7,Microsoft.Windows.Client.Win7.DiskPartitionContainsLogicalDisk.Discovery,Discovery,Disk Partition to Logical Disk Discovery Rule,This rule discovers the relationships between disk partitions and logical disks,Enabled,bool,TRUE,
Microsoft.Windows.Client.Win7,Microsoft.Windows.Client.Win7.DiskPartitionContainsLogicalDisk.Discovery,Discovery,Disk Partition to Logical Disk Discovery Rule,This rule discovers the relationships between disk partitions and logical disks,Frequency,int,14400,
