ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Essentials,Full,Standard,Notes
Microsoft.Windows.Server.2012.Discovery,Microsoft.Windows.Server.6.2.Full.AllServersComputerGroupDiscovery,Discovery,Populate All Windows Server 2012 Full Computer Group,This rule populates the Windows Server 2012 Full Computer Group.,Enabled,bool,TRUE,,,,
Microsoft.Windows.Server.2012.Discovery,Microsoft.Windows.Server.6.2.PhysicalDisk.Discovery,Discovery,Discover Windows Physical Disks,This rule uses WMI to discover all Windows physical disks.,Enabled,bool,FALSE,,TRUE,,
Microsoft.Windows.Server.2012.Discovery,Microsoft.Windows.Server.6.2.PhysicalDisk.Discovery,Discovery,Discover Windows Physical Disks,This rule uses WMI to discover all Windows physical disks.,IntervalSeconds,int,86880,,,,
Microsoft.Windows.Server.2012.Discovery,Microsoft.Windows.Server.6.2.PhysicalDisk.Discovery,Discovery,Discover Windows Physical Disks,This rule uses WMI to discover all Windows physical disks.,TimeoutSeconds,int,360,,,,
Microsoft.Windows.Server.2012.Discovery,Microsoft.Windows.Server.6.2.DiskPartition.Discovery,Discovery,Discover Windows Disk Partitions,This rule uses WMI to discover all Windows disk partitions.,Enabled,bool,FALSE,,TRUE,,
Microsoft.Windows.Server.2012.Discovery,Microsoft.Windows.Server.6.2.DiskPartition.Discovery,Discovery,Discover Windows Disk Partitions,This rule uses WMI to discover all Windows disk partitions.,Frequency,int,86700,,,,
Microsoft.Windows.Server.2012.Discovery,Microsoft.Windows.Server.6.2.StandardLicense.Discovery,Discovery,License Discovery for Microsoft Windows Server,"This discovery rule discovers and populates the class named “System Center Operations Manager Standard License""",Enabled,bool,TRUE,,,,
Microsoft.Windows.Server.2012.Discovery,Microsoft.Windows.Server.6.2.DiskPartitionContainsLogicalDisk.Discovery,Discovery,Disk Partition to Logical Disk Discovery Rule,This rule discovers the relationships between disk partitions and logical disks,Enabled,bool,TRUE,,,,
Microsoft.Windows.Server.2012.Discovery,Microsoft.Windows.Server.6.2.DiskPartitionContainsLogicalDisk.Discovery,Discovery,Disk Partition to Logical Disk Discovery Rule,This rule discovers the relationships between disk partitions and logical disks,IntervalSeconds,int,14400,,,,
Microsoft.Windows.Server.2012.Discovery,Microsoft.Windows.Server.6.2.DiskPartitionContainsLogicalDisk.Discovery,Discovery,Disk Partition to Logical Disk Discovery Rule,This rule discovers the relationships between disk partitions and logical disks,TimeoutSeconds,int,300,,,,
Microsoft.Windows.Server.2012.Discovery,Microsoft.Windows.Server.6.2.DiskPartitionContainsLogicalDisk.Discovery,Discovery,Disk Partition to Logical Disk Discovery Rule,This rule discovers the relationships between disk partitions and logical disks,SyncTime,string,,,,,
Microsoft.Windows.Server.2012.Discovery,Microsoft.Windows.Server.6.2.AllServersComputerGroupDiscovery,Discovery,Populate All Windows Server 2012 Computer Group,This rule populates the Windows Server 2012 Computer Group.,Enabled,bool,TRUE,,,,
Microsoft.Windows.Server.2012.Discovery,Microsoft.Windows.Server.6.2.LogicalDisk.Discovery,Discovery,Discover Windows Logical Disks,This rule uses WMI to discover all Windows logical disks excluding removable drives and network drives.  This rule does not discover drives mounted with no drive letter.  There is a separate discovery rule for such drives.,Enabled,bool,TRUE,,,,
Microsoft.Windows.Server.2012.Discovery,Microsoft.Windows.Server.6.2.LogicalDisk.Discovery,Discovery,Discover Windows Logical Disks,This rule uses WMI to discover all Windows logical disks excluding removable drives and network drives.  This rule does not discover drives mounted with no drive letter.  There is a separate discovery rule for such drives.,IntervalSeconds,int,86460,,,,
Microsoft.Windows.Server.2012.Discovery,Microsoft.Windows.Server.6.2.LogicalDisk.Discovery,Discovery,Discover Windows Logical Disks,This rule uses WMI to discover all Windows logical disks excluding removable drives and network drives.  This rule does not discover drives mounted with no drive letter.  There is a separate discovery rule for such drives.,TimeoutSeconds,int,360,,,,
Microsoft.Windows.Server.2012.Discovery,Microsoft.Windows.Server.6.2.CPU.Discovery,Discovery,Discover Windows CPUs,This rule uses WMI to discover all processors reported by Windows.,Enabled,bool,FALSE,,,,
Microsoft.Windows.Server.2012.Discovery,Microsoft.Windows.Server.6.2.CPU.Discovery,Discovery,Discover Windows CPUs,This rule uses WMI to discover all processors reported by Windows.,TimeoutSeconds,int,360,,,,
Microsoft.Windows.Server.2012.Discovery,Microsoft.Windows.Server.6.2.CPU.Discovery,Discovery,Discover Windows CPUs,This rule uses WMI to discover all processors reported by Windows.,IntervalSeconds,int,86640,,,,
Microsoft.Windows.Server.2012.Discovery,Microsoft.Windows.Server.6.2.MountPoint.Discovery,Discovery,Mount Point Discovery Rule,This rule discovers instances of logical disks that are exposed to Windows through mount points.,Enabled,bool,FALSE,,,,
Microsoft.Windows.Server.2012.Discovery,Microsoft.Windows.Server.6.2.MountPoint.Discovery,Discovery,Mount Point Discovery Rule,This rule discovers instances of logical disks that are exposed to Windows through mount points.,IntervalSeconds,int,86520,,,,
